Start_city,End_city,Distance
Ville_0153,Ville_0498,1599
Ville_0498,Ville_0381,1306
Ville_0381,Ville_0336,2870
Ville_0336,Ville_0300,1256
Ville_0300,Ville_0177,571
Ville_0177,Ville_0273,777
Ville_0273,Ville_0484,57
Ville_0484,Ville_0270,2925
Ville_0270,Ville_0074,2396
Ville_0074,Ville_0169,1653
Ville_0169,Ville_0332,2374
Ville_0332,Ville_0302,182
Ville_0302,Ville_0099,795
Ville_0099,Ville_0093,2517
Ville_0093,Ville_0148,1353
Ville_0148,Ville_0459,2554
Ville_0459,Ville_0149,954
Ville_0149,Ville_0173,2669
Ville_0173,Ville_0287,2366
Ville_0287,Ville_0403,476
Ville_0403,Ville_0059,2082
Ville_0059,Ville_0219,626
Ville_0219,Ville_0134,1406
Ville_0134,Ville_0087,368
Ville_0087,Ville_0344,1024
Ville_0344,Ville_0240,1470
Ville_0240,Ville_0175,1358
Ville_0175,Ville_0415,737
Ville_0415,Ville_0231,2655
Ville_0231,Ville_0324,413
Ville_0324,Ville_0228,2953
Ville_0228,Ville_0248,2794
Ville_0248,Ville_0136,2667
Ville_0136,Ville_0500,1425
Ville_0500,Ville_0195,1879
Ville_0195,Ville_0394,96
Ville_0394,Ville_0340,1136
Ville_0340,Ville_0462,908
Ville_0462,Ville_0453,1072
Ville_0453,Ville_0274,2889
Ville_0274,Ville_0194,327
Ville_0194,Ville_0167,1485
Ville_0167,Ville_0334,1101
Ville_0334,Ville_0047,492
Ville_0047,Ville_0417,3000
Ville_0417,Ville_0015,55
Ville_0015,Ville_0474,247
Ville_0474,Ville_0157,1630
Ville_0157,Ville_0107,1844
Ville_0107,Ville_0137,1768
Ville_0137,Ville_0356,731
Ville_0356,Ville_0272,1745
Ville_0272,Ville_0129,2069
Ville_0129,Ville_0423,1601
Ville_0423,Ville_0226,1488
Ville_0226,Ville_0118,2286
Ville_0118,Ville_0207,1587
Ville_0207,Ville_0100,465
Ville_0100,Ville_0010,2013
Ville_0010,Ville_0108,2417
Ville_0108,Ville_0457,2716
Ville_0457,Ville_0468,2864
Ville_0468,Ville_0066,973
Ville_0066,Ville_0088,716
Ville_0088,Ville_0290,1898
Ville_0290,Ville_0428,351
Ville_0428,Ville_0378,186
Ville_0378,Ville_0318,1257
Ville_0318,Ville_0348,132
Ville_0348,Ville_0267,1355
Ville_0267,Ville_0095,1119
Ville_0095,Ville_0443,478
Ville_0443,Ville_0343,353
Ville_0343,Ville_0069,1450
Ville_0069,Ville_0094,746
Ville_0094,Ville_0429,1587
Ville_0429,Ville_0246,709
Ville_0246,Ville_0427,357
Ville_0427,Ville_0432,2290
Ville_0432,Ville_0390,431
Ville_0390,Ville_0329,1434
Ville_0329,Ville_0357,2483
Ville_0357,Ville_0298,2563
Ville_0298,Ville_0243,2027
Ville_0243,Ville_0400,2935
Ville_0400,Ville_0121,176
Ville_0121,Ville_0476,1816
Ville_0476,Ville_0346,2727
Ville_0346,Ville_0184,725
Ville_0184,Ville_0202,2537
Ville_0202,Ville_0245,1828
Ville_0245,Ville_0249,693
Ville_0249,Ville_0225,269
Ville_0225,Ville_0447,464
Ville_0447,Ville_0042,1406
Ville_0042,Ville_0375,891
Ville_0375,Ville_0307,828
Ville_0307,Ville_0414,1726
Ville_0414,Ville_0444,2905
Ville_0444,Ville_0109,2319
Ville_0109,Ville_0461,2262
Ville_0461,Ville_0046,1136
Ville_0046,Ville_0385,2755
Ville_0385,Ville_0236,1203
Ville_0236,Ville_0345,1268
Ville_0345,Ville_0003,1022
Ville_0003,Ville_0264,442
Ville_0264,Ville_0229,253
Ville_0229,Ville_0366,1659
Ville_0366,Ville_0368,2391
Ville_0368,Ville_0161,2301
Ville_0161,Ville_0205,2060
Ville_0205,Ville_0320,679
Ville_0320,Ville_0154,273
Ville_0154,Ville_0083,1527
Ville_0083,Ville_0026,65
Ville_0026,Ville_0209,1801
Ville_0209,Ville_0018,408
Ville_0018,Ville_0050,1256
Ville_0050,Ville_0480,2761
Ville_0480,Ville_0012,2610
Ville_0012,Ville_0497,2508
Ville_0497,Ville_0473,2017
Ville_0473,Ville_0485,867
Ville_0485,Ville_0113,447
Ville_0113,Ville_0339,155
Ville_0339,Ville_0277,897
Ville_0277,Ville_0076,749
Ville_0076,Ville_0063,2664
Ville_0063,Ville_0438,1245
Ville_0438,Ville_0039,385
Ville_0039,Ville_0491,1989
Ville_0491,Ville_0499,523
Ville_0499,Ville_0392,1313
Ville_0392,Ville_0263,1678
Ville_0263,Ville_0055,1978
Ville_0055,Ville_0091,2053
Ville_0091,Ville_0182,2757
Ville_0182,Ville_0110,1135
Ville_0110,Ville_0098,423
Ville_0098,Ville_0451,2679
Ville_0451,Ville_0319,2278
Ville_0319,Ville_0446,1637
Ville_0446,Ville_0433,807
Ville_0433,Ville_0424,1569
Ville_0424,Ville_0186,1612
Ville_0186,Ville_0347,1563
Ville_0347,Ville_0196,814
Ville_0196,Ville_0171,1875
Ville_0171,Ville_0085,232
Ville_0085,Ville_0192,1128
Ville_0192,Ville_0355,1851
Ville_0355,Ville_0114,1954
Ville_0114,Ville_0166,1128
Ville_0166,Ville_0017,976
Ville_0017,Ville_0372,1150
Ville_0372,Ville_0227,2361
Ville_0227,Ville_0259,302
Ville_0259,Ville_0151,669
Ville_0151,Ville_0222,2902
Ville_0222,Ville_0022,2783
Ville_0022,Ville_0162,446
Ville_0162,Ville_0096,401
Ville_0096,Ville_0481,2786
Ville_0481,Ville_0051,1458
Ville_0051,Ville_0244,2267
Ville_0244,Ville_0057,1745
Ville_0057,Ville_0247,2465
Ville_0247,Ville_0282,981
Ville_0282,Ville_0032,2317
Ville_0032,Ville_0304,299
Ville_0304,Ville_0310,1635
Ville_0310,Ville_0237,2190
Ville_0237,Ville_0025,1764
Ville_0025,Ville_0190,2243
Ville_0190,Ville_0141,2864
Ville_0141,Ville_0412,1994
Ville_0412,Ville_0208,2395
Ville_0208,Ville_0104,1015
Ville_0104,Ville_0483,2000
Ville_0483,Ville_0299,1274
Ville_0299,Ville_0241,373
Ville_0241,Ville_0326,1667
Ville_0326,Ville_0174,2975
Ville_0174,Ville_0285,192
Ville_0285,Ville_0132,2106
Ville_0132,Ville_0102,2389
Ville_0102,Ville_0211,2166
Ville_0211,Ville_0064,2390
Ville_0064,Ville_0183,2825
Ville_0183,Ville_0203,2590
Ville_0203,Ville_0439,653
Ville_0439,Ville_0232,542
Ville_0232,Ville_0056,1889
Ville_0056,Ville_0011,758
Ville_0011,Ville_0479,734
Ville_0479,Ville_0179,917
Ville_0179,Ville_0181,839
Ville_0181,Ville_0283,566
Ville_0283,Ville_0176,224
Ville_0176,Ville_0409,1784
Ville_0409,Ville_0306,370
Ville_0306,Ville_0297,2848
Ville_0297,Ville_0452,1833
Ville_0452,Ville_0335,877
Ville_0335,Ville_0413,2619
Ville_0413,Ville_0421,655
Ville_0421,Ville_0456,2487
Ville_0456,Ville_0387,1106
Ville_0387,Ville_0309,1359
Ville_0309,Ville_0362,324
Ville_0362,Ville_0477,406
Ville_0477,Ville_0466,1639
Ville_0466,Ville_0303,2328
Ville_0303,Ville_0279,1677
Ville_0279,Ville_0230,2311
Ville_0230,Ville_0411,1385
Ville_0411,Ville_0221,1181
Ville_0221,Ville_0315,2178
Ville_0315,Ville_0469,1926
Ville_0469,Ville_0384,100
Ville_0384,Ville_0463,2918
Ville_0463,Ville_0200,2602
Ville_0200,Ville_0464,2456
Ville_0464,Ville_0052,2190
Ville_0052,Ville_0250,1768
Ville_0250,Ville_0379,510
Ville_0379,Ville_0070,1747
Ville_0070,Ville_0116,662
Ville_0116,Ville_0082,657
Ville_0082,Ville_0371,2370
Ville_0371,Ville_0288,2458
Ville_0288,Ville_0422,2436
Ville_0422,Ville_0180,460
Ville_0180,Ville_0251,482
Ville_0251,Ville_0458,2354
Ville_0458,Ville_0448,463
Ville_0448,Ville_0341,1221
Ville_0341,Ville_0218,2243
Ville_0218,Ville_0067,1458
Ville_0067,Ville_0075,1733
Ville_0075,Ville_0361,1131
Ville_0361,Ville_0396,1618
Ville_0396,Ville_0170,2732
Ville_0170,Ville_0112,2038
