Category,Object
Flammable,Object_00762
Explosive,Object_00963
Toxic,Object_00377
Radioactive,Object_01520
Explosive,Object_00516
Food,Object_00737
Radioactive,Object_01025
Flammable,Object_01396
Explosive,Object_00991
Flammable,Object_00361
Toxic,Object_01189
Oxidizing,Object_01374
Flammable,Object_00037
Explosive,Object_00964
Food,Object_00044
Food,Object_00919
Pressurized,Object_00751
Fragile,Object_00417
Explosive,Object_01352
Toxic,Object_00052
Flammable,Object_00466
Oxidizing,Object_01223
Unspecified,Object_00983
Oxidizing,Object_00669
Flammable,Object_01409
Oxidizing,Object_00250
Radioactive,Object_00309
Radioactive,Object_00195
Fragile,Object_00375
Radioactive,Object_00077
Oxidizing,Object_00367
Radioactive,Object_00001
Explosive,Object_00803
Toxic,Object_00704
Radioactive,Object_01160
Oxidizing,Object_01527
Fragile,Object_01257
Fragile,Object_01615
Unspecified,Object_00873
Food,Object_00894
Toxic,Object_00355
Toxic,Object_00112
Food,Object_01507
Pressurized,Object_00257
Flammable,Object_00930
Radioactive,Object_01122
Fragile,Object_00346
Toxic,Object_01466
Oxidizing,Object_01596
Corrosive,Object_01118
Explosive,Object_01255
Flammable,Object_00542
Toxic,Object_00305
Corrosive,Object_01574
Pressurized,Object_01164
Fragile,Object_01450
Oxidizing,Object_01059
Fragile,Object_00068
Corrosive,Object_01383
Radioactive,Object_01035
Corrosive,Object_01384
Unspecified,Object_00452
Explosive,Object_01472
Corrosive,Object_00824
Fragile,Object_01149
Explosive,Object_01143
Fragile,Object_01126
Fragile,Object_01250
Radioactive,Object_01407
Pressurized,Object_00116
Food,Object_01464
Fragile,Object_01513
Toxic,Object_00205
Pressurized,Object_01202
Flammable,Object_00948
Toxic,Object_01415
Toxic,Object_00127
Corrosive,Object_00084
Oxidizing,Object_00324
Explosive,Object_00093
Fragile,Object_00099
Oxidizing,Object_00575
Corrosive,Object_00684
Fragile,Object_01442
Fragile,Object_00298
Toxic,Object_00074
Oxidizing,Object_00612
Toxic,Object_00559
Flammable,Object_00583
Pressurized,Object_00436
Radioactive,Object_01620
Oxidizing,Object_00810
Flammable,Object_00952
Flammable,Object_01376
Unspecified,Object_01623
Food,Object_01341
Toxic,Object_00548
Corrosive,Object_00365
Explosive,Object_00338
Toxic,Object_00787
Radioactive,Object_00445
Explosive,Object_00853
Explosive,Object_01548
Corrosive,Object_00951
Food,Object_01514
Corrosive,Object_00451
Fragile,Object_00758
Unspecified,Object_00326
Radioactive,Object_00258
Flammable,Object_00841
Pressurized,Object_00010
Corrosive,Object_00520
Fragile,Object_01580
Unspecified,Object_01521
Food,Object_01495
Pressurized,Object_01198
Oxidizing,Object_00464
Explosive,Object_01333
Unspecified,Object_00071
Unspecified,Object_00768
Food,Object_01136
Food,Object_00358
Oxidizing,Object_00255
Pressurized,Object_00876
Food,Object_01618
Unspecified,Object_01531
Unspecified,Object_00781
Pressurized,Object_00370
Unspecified,Object_00778
Food,Object_00184
Fragile,Object_00692
Unspecified,Object_01020
Oxidizing,Object_01121
Fragile,Object_00552
Pressurized,Object_01243
Toxic,Object_00739
Flammable,Object_00073
Toxic,Object_00932
Fragile,Object_00882
Flammable,Object_01427
Pressurized,Object_00278
Fragile,Object_00268
Pressurized,Object_01318
Corrosive,Object_01110
Food,Object_00581
Pressurized,Object_00570
Corrosive,Object_00623
Corrosive,Object_01004
Unspecified,Object_01108
Flammable,Object_00840
Fragile,Object_01029
Flammable,Object_00753
Flammable,Object_01460
Flammable,Object_01249
Pressurized,Object_00631
Corrosive,Object_01421
Toxic,Object_00819
Toxic,Object_00438
Pressurized,Object_01447
Corrosive,Object_01402
Radioactive,Object_00939
Toxic,Object_01551
Corrosive,Object_00905
Pressurized,Object_00625
Pressurized,Object_00740
Unspecified,Object_01120
Food,Object_01227
Food,Object_00204
Unspecified,Object_01591
Food,Object_01336
Corrosive,Object_01332
Pressurized,Object_01619
Fragile,Object_00843
Radioactive,Object_01413
Oxidizing,Object_00980
Fragile,Object_01488
Toxic,Object_01006
Fragile,Object_01100
Food,Object_01175
Corrosive,Object_00283
Unspecified,Object_00488
Radioactive,Object_01194
Fragile,Object_01483
Pressurized,Object_01075
Radioactive,Object_01049
Flammable,Object_00089
Explosive,Object_00342
Radioactive,Object_00878
Flammable,Object_01312
Radioactive,Object_00814
Fragile,Object_00147
Radioactive,Object_00394
Food,Object_00018
Fragile,Object_00553
Fragile,Object_00468
Flammable,Object_00640
Fragile,Object_00935
Food,Object_01562
Radioactive,Object_00386
Pressurized,Object_01451
Toxic,Object_01329
Radioactive,Object_00712
Flammable,Object_00799
Corrosive,Object_00859
Food,Object_00025
Pressurized,Object_00789
Flammable,Object_01019
Flammable,Object_01065
Unspecified,Object_00261
Toxic,Object_00399
Radioactive,Object_00185
Radioactive,Object_01235
Flammable,Object_01461
Pressurized,Object_00535
Fragile,Object_00469
Corrosive,Object_00582
Toxic,Object_01254
Unspecified,Object_01012
Radioactive,Object_00990
Flammable,Object_00656
Radioactive,Object_00307
Oxidizing,Object_00063
Unspecified,Object_00573
Radioactive,Object_00284
Explosive,Object_00008
Fragile,Object_00106
Radioactive,Object_01001
Food,Object_01592
Flammable,Object_01306
Toxic,Object_01532
Fragile,Object_00291
Food,Object_00866
Unspecified,Object_00159
Radioactive,Object_00271
Flammable,Object_00759
Fragile,Object_00243
Toxic,Object_01630
Unspecified,Object_00395
Explosive,Object_00014
