Category,Object
Unspecified,Object_03053
Oxidizing,Object_00647
Unspecified,Object_05876
Radioactive,Object_05427
Corrosive,Object_07222
Flammable,Object_01250
Radioactive,Object_10513
Oxidizing,Object_02459
Oxidizing,Object_01618
Food,Object_03817
Corrosive,Object_10930
Oxidizing,Object_14287
Fragile,Object_04432
Corrosive,Object_13712
Toxic,Object_12162
Radioactive,Object_13084
Unspecified,Object_10888
Food,Object_04104
Radioactive,Object_03589
Radioactive,Object_07238
Unspecified,Object_04182
Flammable,Object_14936
Flammable,Object_12125
Food,Object_07692
Pressurized,Object_03927
Explosive,Object_01530
Corrosive,Object_05370
Pressurized,Object_13692
Fragile,Object_02483
Explosive,Object_03924
Unspecified,Object_02276
Radioactive,Object_12626
Radioactive,Object_05092
Explosive,Object_11998
Explosive,Object_06361
Explosive,Object_00324
Corrosive,Object_12900
Flammable,Object_11215
Toxic,Object_04971
Pressurized,Object_02963
Corrosive,Object_14878
Flammable,Object_14853
Oxidizing,Object_06615
Flammable,Object_06404
Oxidizing,Object_08553
Food,Object_11527
Unspecified,Object_04106
Pressurized,Object_01890
Fragile,Object_09696
Corrosive,Object_10365
Toxic,Object_00521
Toxic,Object_08131
Pressurized,Object_01922
Pressurized,Object_07531
Corrosive,Object_06588
Fragile,Object_05599
Corrosive,Object_13629
Oxidizing,Object_12029
Explosive,Object_02814
Pressurized,Object_09734
Fragile,Object_07070
Toxic,Object_05605
Flammable,Object_08914
Radioactive,Object_02985
Flammable,Object_12735
Radioactive,Object_10121
Pressurized,Object_14500
Toxic,Object_00290
Oxidizing,Object_13915
Unspecified,Object_02214
Food,Object_03791
Pressurized,Object_05938
Radioactive,Object_01762
Explosive,Object_05039
Radioactive,Object_05100
Fragile,Object_07760
Toxic,Object_12538
Radioactive,Object_01602
Food,Object_05820
Fragile,Object_11484
Unspecified,Object_08912
Oxidizing,Object_09804
Toxic,Object_03717
Fragile,Object_03013
Unspecified,Object_07938
Food,Object_05033
Explosive,Object_06558
Radioactive,Object_01176
Toxic,Object_03078
Fragile,Object_10424
Oxidizing,Object_14263
Oxidizing,Object_00499
Flammable,Object_13407
Fragile,Object_11471
Flammable,Object_11086
Fragile,Object_13014
Oxidizing,Object_08058
Explosive,Object_07435
Pressurized,Object_06873
Unspecified,Object_01637
Explosive,Object_13302
Corrosive,Object_03105
Oxidizing,Object_02658
Unspecified,Object_04365
Corrosive,Object_09093
Explosive,Object_00085
Toxic,Object_01975
Pressurized,Object_00477
Radioactive,Object_07792
Radioactive,Object_08005
Explosive,Object_11846
Fragile,Object_01935
Explosive,Object_08525
Corrosive,Object_01202
Flammable,Object_08195
Oxidizing,Object_13743
Flammable,Object_08937
Explosive,Object_14797
Flammable,Object_13106
Flammable,Object_02606
Unspecified,Object_10667
Explosive,Object_12000
Explosive,Object_07837
Food,Object_00839
Toxic,Object_09341
Unspecified,Object_01380
Flammable,Object_10234
Oxidizing,Object_14759
Oxidizing,Object_07571
Unspecified,Object_01543
Unspecified,Object_10470
Explosive,Object_08164
Pressurized,Object_08813
Toxic,Object_03668
Flammable,Object_05067
Unspecified,Object_08806
Food,Object_14835
Unspecified,Object_08378
Pressurized,Object_11893
Flammable,Object_12837
Oxidizing,Object_03171
Fragile,Object_12867
Flammable,Object_03828
Explosive,Object_01366
Oxidizing,Object_01830
Flammable,Object_06584
Flammable,Object_13365
Flammable,Object_01016
Food,Object_10051
Corrosive,Object_12576
Corrosive,Object_04538
Food,Object_14352
Corrosive,Object_13550
Explosive,Object_03396
Food,Object_06841
Corrosive,Object_05732
Explosive,Object_09748
Flammable,Object_13071
Radioactive,Object_06429
Corrosive,Object_00860
Oxidizing,Object_07583
Radioactive,Object_05984
Unspecified,Object_15049
Food,Object_13012
Radioactive,Object_14144
Radioactive,Object_05095
Pressurized,Object_13158
Flammable,Object_01828
Toxic,Object_04503
Fragile,Object_11648
Toxic,Object_04072
Pressurized,Object_05801
Flammable,Object_03284
Unspecified,Object_10362
Corrosive,Object_04714
Fragile,Object_02509
Pressurized,Object_14130
Explosive,Object_05140
Toxic,Object_12480
Oxidizing,Object_01674
Food,Object_00501
Toxic,Object_05440
Oxidizing,Object_06500
Toxic,Object_08132
Corrosive,Object_03986
Food,Object_08165
Fragile,Object_02594
Oxidizing,Object_12084
Radioactive,Object_11982
Fragile,Object_02377
Pressurized,Object_07627
Pressurized,Object_03869
Corrosive,Object_02700
Corrosive,Object_10625
Corrosive,Object_02837
Flammable,Object_07287
Radioactive,Object_07336
Food,Object_03369
Unspecified,Object_14301
Radioactive,Object_03911
Explosive,Object_08745
Unspecified,Object_09112
Flammable,Object_08494
Flammable,Object_12178
Oxidizing,Object_09749
Fragile,Object_04492
Pressurized,Object_08023
Radioactive,Object_14909
Food,Object_15043
Oxidizing,Object_06881
Pressurized,Object_04557
Pressurized,Object_12373
Corrosive,Object_04086
Unspecified,Object_02787
Unspecified,Object_04983
Flammable,Object_09371
Toxic,Object_10464
Toxic,Object_14728
Corrosive,Object_00446
Corrosive,Object_10913
Corrosive,Object_11193
Pressurized,Object_01968
Food,Object_04751
Food,Object_05077
Pressurized,Object_06283
Oxidizing,Object_04821
Oxidizing,Object_12870
Oxidizing,Object_01665
Flammable,Object_14152
Explosive,Object_10396
Explosive,Object_10273
Explosive,Object_01874
Toxic,Object_08960
Corrosive,Object_02942
Food,Object_06216
Unspecified,Object_13396
Pressurized,Object_07203
Unspecified,Object_12169
Corrosive,Object_13900
Unspecified,Object_03098
Oxidizing,Object_02077
Oxidizing,Object_12723
Fragile,Object_00873
Oxidizing,Object_09643
Flammable,Object_08581
Pressurized,Object_14991
Unspecified,Object_01392
Pressurized,Object_03905
Flammable,Object_14816
Oxidizing,Object_14921
Corrosive,Object_07063
Corrosive,Object_02595
Oxidizing,Object_03628
Pressurized,Object_11048
Flammable,Object_10259
Unspecified,Object_08842
Unspecified,Object_04726
Oxidizing,Object_03545
Oxidizing,Object_01350
Fragile,Object_06164
Radioactive,Object_04766
Explosive,Object_13678
Flammable,Object_07190
Oxidizing,Object_11002
Food,Object_03039
Explosive,Object_10758
Toxic,Object_12622
Flammable,Object_11634
Toxic,Object_12425
Radioactive,Object_02361
Pressurized,Object_00286
Pressurized,Object_11468
Radioactive,Object_00899
Corrosive,Object_03928
Pressurized,Object_02900
Food,Object_02885
Fragile,Object_01450
Toxic,Object_03893
Oxidizing,Object_10958
Unspecified,Object_06230
Pressurized,Object_12894
Food,Object_07160
Flammable,Object_05582
Flammable,Object_00206
Pressurized,Object_12726
Unspecified,Object_00714
Explosive,Object_06137
Radioactive,Object_01882
Toxic,Object_14271
Unspecified,Object_00330
Food,Object_10818
Explosive,Object_09073
Corrosive,Object_01794
Food,Object_03784
