Category,Object
Corrosive,Object_00544
Food,Object_01077
Food,Object_00223
Unspecified,Object_01380
Fragile,Object_00831
Pressurized,Object_00744
Oxidizing,Object_00099
Toxic,Object_00766
Corrosive,Object_00652
Unspecified,Object_01005
Unspecified,Object_01235
Fragile,Object_00078
Fragile,Object_00599
Pressurized,Object_01108
Flammable,Object_00662
Unspecified,Object_00062
Food,Object_00205
Unspecified,Object_00828
Unspecified,Object_00118
Pressurized,Object_01272
Oxidizing,Object_00417
Food,Object_00418
Oxidizing,Object_00170
Toxic,Object_00447
Flammable,Object_00608
Unspecified,Object_00745
Oxidizing,Object_00622
Fragile,Object_00605
Pressurized,Object_00153
Flammable,Object_00525
Food,Object_00144
Radioactive,Object_01001
Oxidizing,Object_01219
Explosive,Object_01019
Radioactive,Object_00696
Explosive,Object_00957
Food,Object_01401
Food,Object_01394
Toxic,Object_00052
Unspecified,Object_00427
Radioactive,Object_00510
Flammable,Object_00083
Radioactive,Object_01139
Toxic,Object_01167
Pressurized,Object_01063
Food,Object_00281
Unspecified,Object_00530
Food,Object_00091
Radioactive,Object_00464
Unspecified,Object_00743
Food,Object_00415
Toxic,Object_00092
Explosive,Object_00914
Unspecified,Object_00157
Oxidizing,Object_00703
Corrosive,Object_00236
Oxidizing,Object_00553
Pressurized,Object_00332
Pressurized,Object_01031
Explosive,Object_00168
Oxidizing,Object_01255
Corrosive,Object_01079
Flammable,Object_01051
Unspecified,Object_01165
Pressurized,Object_01055
Explosive,Object_01026
Food,Object_01236
Radioactive,Object_01300
Fragile,Object_00210
Flammable,Object_00935
Toxic,Object_01066
Oxidizing,Object_00889
Flammable,Object_00121
Explosive,Object_01294
Food,Object_00342
Corrosive,Object_00406
Explosive,Object_01254
Unspecified,Object_00201
Flammable,Object_01027
Food,Object_00010
Pressurized,Object_01389
Pressurized,Object_00061
Explosive,Object_00366
Unspecified,Object_00731
Unspecified,Object_00630
Unspecified,Object_00780
Explosive,Object_00430
Oxidizing,Object_01367
Food,Object_00990
Fragile,Object_00198
Radioactive,Object_01324
Corrosive,Object_00067
Toxic,Object_00146
Corrosive,Object_00014
Radioactive,Object_00853
Radioactive,Object_00383
Toxic,Object_01088
Unspecified,Object_01032
Pressurized,Object_01400
Flammable,Object_00526
Oxidizing,Object_00169
Oxidizing,Object_01218
Flammable,Object_00496
Fragile,Object_00571
Unspecified,Object_00868
Radioactive,Object_01308
Oxidizing,Object_01117
Fragile,Object_00012
Flammable,Object_00981
Corrosive,Object_00508
Unspecified,Object_00870
Explosive,Object_00252
Pressurized,Object_00885
Oxidizing,Object_01192
Unspecified,Object_00058
Unspecified,Object_00472
Pressurized,Object_00811
Toxic,Object_00307
Unspecified,Object_00299
Unspecified,Object_00727
Food,Object_01101
Flammable,Object_00030
Toxic,Object_01054
Flammable,Object_01191
Explosive,Object_00060
Oxidizing,Object_01141
Flammable,Object_01262
Explosive,Object_01043
Fragile,Object_00921
Corrosive,Object_01061
Oxidizing,Object_00459
Flammable,Object_00641
Corrosive,Object_00339
Oxidizing,Object_00045
Food,Object_00234
Food,Object_00877
Corrosive,Object_00150
Unspecified,Object_00321
Pressurized,Object_00671
Oxidizing,Object_00021
Radioactive,Object_00509
Unspecified,Object_00483
Fragile,Object_00543
Fragile,Object_01006
Food,Object_00583
Unspecified,Object_01273
Corrosive,Object_01252
Radioactive,Object_00245
Corrosive,Object_01359
Radioactive,Object_00611
Flammable,Object_00109
Food,Object_00081
Radioactive,Object_01290
Fragile,Object_00675
Food,Object_00560
Fragile,Object_01336
Oxidizing,Object_01375
Explosive,Object_01241
Corrosive,Object_01185
Explosive,Object_00974
Food,Object_01407
Oxidizing,Object_00861
Fragile,Object_00367
Flammable,Object_00015
Pressurized,Object_00016
Oxidizing,Object_01251
Unspecified,Object_01349
Explosive,Object_01039
Flammable,Object_00926
Radioactive,Object_00948
Flammable,Object_00634
Pressurized,Object_00231
Unspecified,Object_00896
Toxic,Object_01025
Flammable,Object_00064
Food,Object_00178
Fragile,Object_00547
Flammable,Object_00227
Food,Object_00349
Pressurized,Object_01122
Toxic,Object_00555
Flammable,Object_00619
Unspecified,Object_01239
Unspecified,Object_00024
Radioactive,Object_01042
Food,Object_01358
Flammable,Object_00471
Corrosive,Object_00387
Food,Object_00340
Unspecified,Object_00147
Fragile,Object_00839
Unspecified,Object_00986
Radioactive,Object_00761
Corrosive,Object_00963
Explosive,Object_00315
Flammable,Object_00797
Oxidizing,Object_00807
Toxic,Object_01133
Corrosive,Object_00943
Food,Object_00290
Pressurized,Object_00938
Pressurized,Object_00855
Pressurized,Object_00077
Pressurized,Object_01002
Pressurized,Object_01237
Flammable,Object_00094
Corrosive,Object_00103
Explosive,Object_00989
Corrosive,Object_01360
Explosive,Object_00691
Radioactive,Object_00130
Pressurized,Object_01068
Oxidizing,Object_01410
Radioactive,Object_00689
Flammable,Object_00837
Food,Object_00563
Pressurized,Object_01353
Explosive,Object_01182
Explosive,Object_00574
Explosive,Object_01014
Oxidizing,Object_00381
Toxic,Object_00521
Oxidizing,Object_01215
Toxic,Object_00556
Fragile,Object_01368
Unspecified,Object_00229
Explosive,Object_00476
Oxidizing,Object_00149
Corrosive,Object_00566
Oxidizing,Object_00612
Toxic,Object_00380
Toxic,Object_00663
Fragile,Object_00055
Toxic,Object_00842
Radioactive,Object_00073
Fragile,Object_01307
Explosive,Object_01069
Fragile,Object_00872
Explosive,Object_00535
Food,Object_01371
Oxidizing,Object_00009
Explosive,Object_00713
Unspecified,Object_00625
Explosive,Object_01086
Fragile,Object_00685
Explosive,Object_00220
Fragile,Object_00570
Flammable,Object_00850
Unspecified,Object_00140
Pressurized,Object_00515
Fragile,Object_01386
Radioactive,Object_01200
Toxic,Object_00733
Explosive,Object_00904
Explosive,Object_00971
Oxidizing,Object_00215
Corrosive,Object_00750
Toxic,Object_00271
Corrosive,Object_00047
Unspecified,Object_01377
Flammable,Object_00183
Corrosive,Object_00359
Food,Object_00137
Food,Object_00976
Radioactive,Object_00680
Radioactive,Object_00242
Toxic,Object_01332
Explosive,Object_00164
Corrosive,Object_00292
Unspecified,Object_00945
Unspecified,Object_00104
Pressurized,Object_00978
