Category,Object
Unspecified,Object_05239
Radioactive,Object_02116
Fragile,Object_06411
Flammable,Object_01483
Food,Object_02367
Pressurized,Object_05281
Radioactive,Object_01741
Oxidizing,Object_06764
Food,Object_06689
Fragile,Object_00385
Corrosive,Object_01981
Pressurized,Object_04663
Explosive,Object_02794
Corrosive,Object_05589
Corrosive,Object_05317
Radioactive,Object_05587
Flammable,Object_06336
Flammable,Object_00410
Oxidizing,Object_03343
Corrosive,Object_03951
Unspecified,Object_03689
Explosive,Object_05572
Unspecified,Object_06310
Pressurized,Object_04179
Pressurized,Object_03688
Oxidizing,Object_05330
Fragile,Object_06264
Explosive,Object_01212
Toxic,Object_04929
Corrosive,Object_03247
Oxidizing,Object_07323
Unspecified,Object_01665
Unspecified,Object_01878
Unspecified,Object_00012
Corrosive,Object_02473
Radioactive,Object_07255
Food,Object_03901
Toxic,Object_01475
Oxidizing,Object_03535
Pressurized,Object_03042
Fragile,Object_03577
Toxic,Object_04687
Explosive,Object_00237
Pressurized,Object_06783
Oxidizing,Object_06809
Corrosive,Object_01478
Unspecified,Object_03470
Oxidizing,Object_04674
Pressurized,Object_01755
Fragile,Object_00151
Pressurized,Object_02651
Radioactive,Object_04553
Fragile,Object_05684
Radioactive,Object_07226
Explosive,Object_06448
Pressurized,Object_03472
Fragile,Object_00974
Pressurized,Object_01431
Oxidizing,Object_04489
Food,Object_05089
Flammable,Object_03072
Oxidizing,Object_06963
Explosive,Object_01815
Flammable,Object_01724
Corrosive,Object_06698
Fragile,Object_03590
Flammable,Object_02899
Toxic,Object_03702
Food,Object_04070
Toxic,Object_02112
Unspecified,Object_05105
Radioactive,Object_07364
Food,Object_02698
Toxic,Object_04932
Fragile,Object_00057
Food,Object_06949
Corrosive,Object_03484
Toxic,Object_03342
Toxic,Object_07460
Food,Object_00624
Flammable,Object_01370
Fragile,Object_04899
Corrosive,Object_03905
Explosive,Object_03898
Explosive,Object_01733
Oxidizing,Object_00258
Explosive,Object_00533
Radioactive,Object_03981
Fragile,Object_04844
Fragile,Object_02560
Toxic,Object_01690
Food,Object_00223
Explosive,Object_04446
Explosive,Object_03910
Food,Object_03218
Oxidizing,Object_01698
Oxidizing,Object_06230
Explosive,Object_05341
Fragile,Object_03142
Unspecified,Object_07247
Radioactive,Object_06639
Oxidizing,Object_03488
Corrosive,Object_01020
Flammable,Object_00784
Explosive,Object_00452
Unspecified,Object_03411
Food,Object_05334
Flammable,Object_04845
Corrosive,Object_05781
Unspecified,Object_07316
Unspecified,Object_06947
Explosive,Object_02890
Corrosive,Object_03504
Corrosive,Object_02991
Radioactive,Object_02430
Explosive,Object_00405
Radioactive,Object_05420
Flammable,Object_00840
Corrosive,Object_00548
Flammable,Object_06367
Flammable,Object_06240
Oxidizing,Object_04954
Pressurized,Object_03866
Toxic,Object_01179
Explosive,Object_03960
Pressurized,Object_04320
Explosive,Object_05249
Pressurized,Object_05674
Pressurized,Object_03466
Unspecified,Object_02474
Pressurized,Object_02573
Food,Object_03028
Toxic,Object_05080
Pressurized,Object_00407
Fragile,Object_02847
Toxic,Object_02169
Fragile,Object_05778
Radioactive,Object_04360
Flammable,Object_01101
Explosive,Object_07217
Food,Object_00790
Food,Object_06901
Radioactive,Object_01756
Pressurized,Object_07429
Radioactive,Object_00209
Pressurized,Object_06125
Corrosive,Object_00480
Toxic,Object_04721
Flammable,Object_01215
Flammable,Object_06627
Explosive,Object_00449
Toxic,Object_04859
Food,Object_07066
Food,Object_05348
Oxidizing,Object_05040
