Category,Object
Pressurized,Object_00263
Flammable,Object_00021
Oxidizing,Object_00096
Toxic,Object_00456
Explosive,Object_00144
Explosive,Object_00007
Radioactive,Object_00335
Explosive,Object_00378
Radioactive,Object_00063
Unspecified,Object_00386
Radioactive,Object_00206
Oxidizing,Object_00182
Corrosive,Object_00153
Pressurized,Object_00333
Food,Object_00284
Oxidizing,Object_00200
Food,Object_00396
Fragile,Object_00013
Explosive,Object_00105
Corrosive,Object_00328
Food,Object_00234
Food,Object_00440
Oxidizing,Object_00039
Flammable,Object_00324
Unspecified,Object_00066
Toxic,Object_00377
Flammable,Object_00024
Food,Object_00214
Pressurized,Object_00357
Flammable,Object_00172
Food,Object_00191
Radioactive,Object_00408
Pressurized,Object_00221
Toxic,Object_00189
Fragile,Object_00353
Radioactive,Object_00016
Oxidizing,Object_00309
Unspecified,Object_00300
Toxic,Object_00426
Toxic,Object_00257
Fragile,Object_00114
Corrosive,Object_00075
Oxidizing,Object_00036
Toxic,Object_00414
Oxidizing,Object_00265
Explosive,Object_00423
Fragile,Object_00197
Explosive,Object_00142
Flammable,Object_00015
Pressurized,Object_00031
Explosive,Object_00388
Oxidizing,Object_00389
Food,Object_00336
Explosive,Object_00441
Fragile,Object_00208
Toxic,Object_00108
Food,Object_00104
Pressurized,Object_00375
Oxidizing,Object_00385
Radioactive,Object_00259
Toxic,Object_00382
Unspecified,Object_00325
Flammable,Object_00092
Explosive,Object_00371
Fragile,Object_00074
Radioactive,Object_00139
Food,Object_00322
Toxic,Object_00127
Flammable,Object_00011
Toxic,Object_00293
Toxic,Object_00028
Fragile,Object_00158
Radioactive,Object_00363
Radioactive,Object_00195
Oxidizing,Object_00439
Radioactive,Object_00032
Fragile,Object_00449
Fragile,Object_00453
Fragile,Object_00230
Unspecified,Object_00254
Flammable,Object_00151
Corrosive,Object_00290
Unspecified,Object_00431
Corrosive,Object_00402
Fragile,Object_00303
Pressurized,Object_00245
Unspecified,Object_00175
Radioactive,Object_00084
Toxic,Object_00198
Pressurized,Object_00317
Food,Object_00154
Flammable,Object_00004
Unspecified,Object_00376
Explosive,Object_00310
Unspecified,Object_00372
Corrosive,Object_00412
Oxidizing,Object_00380
Explosive,Object_00179
Toxic,Object_00202
Radioactive,Object_00347
Radioactive,Object_00248
Toxic,Object_00287
Flammable,Object_00350
Fragile,Object_00164
Toxic,Object_00079
Pressurized,Object_00169
Food,Object_00051
Radioactive,Object_00188
Explosive,Object_00383
Toxic,Object_00101
Oxidizing,Object_00381
Food,Object_00451
Pressurized,Object_00199
Corrosive,Object_00145
Corrosive,Object_00080
Corrosive,Object_00109
Food,Object_00052
Corrosive,Object_00212
Unspecified,Object_00429
Explosive,Object_00019
Fragile,Object_00147
Corrosive,Object_00055
Oxidizing,Object_00445
Corrosive,Object_00003
Food,Object_00134
Pressurized,Object_00057
Flammable,Object_00235
Corrosive,Object_00064
Corrosive,Object_00217
Fragile,Object_00122
Unspecified,Object_00313
Radioactive,Object_00326
Unspecified,Object_00242
Explosive,Object_00258
Toxic,Object_00220
Explosive,Object_00319
Fragile,Object_00294
Food,Object_00404
Toxic,Object_00210
Corrosive,Object_00047
Pressurized,Object_00044
Pressurized,Object_00083
Corrosive,Object_00308
Unspecified,Object_00125
Fragile,Object_00419
Unspecified,Object_00005
Flammable,Object_00400
Unspecified,Object_00260
Oxidizing,Object_00458
Pressurized,Object_00361
Fragile,Object_00033
Pressurized,Object_00329
Explosive,Object_00062
Explosive,Object_00187
Radioactive,Object_00022
Pressurized,Object_00364
Flammable,Object_00020
Pressurized,Object_00207
Radioactive,Object_00155
Explosive,Object_00071
Oxidizing,Object_00099
Fragile,Object_00160
Corrosive,Object_00425
Unspecified,Object_00343
Corrosive,Object_00256
Radioactive,Object_00132
Corrosive,Object_00247
Oxidizing,Object_00054
Fragile,Object_00029
Corrosive,Object_00086
Flammable,Object_00250
Food,Object_00216
Flammable,Object_00128
Explosive,Object_00110
Explosive,Object_00150
Toxic,Object_00037
Food,Object_00140
Fragile,Object_00241
Fragile,Object_00401
Unspecified,Object_00327
Toxic,Object_00331
Fragile,Object_00299
Explosive,Object_00180
Food,Object_00116
Toxic,Object_00018
Oxidizing,Object_00264
Unspecified,Object_00112
Flammable,Object_00450
Radioactive,Object_00014
Radioactive,Object_00190
Food,Object_00046
Corrosive,Object_00192
Food,Object_00043
Radioactive,Object_00278
Fragile,Object_00073
Food,Object_00358
Unspecified,Object_00098
Pressurized,Object_00006
Radioactive,Object_00061
Corrosive,Object_00413
Food,Object_00233
Flammable,Object_00320
Fragile,Object_00121
Corrosive,Object_00058
Oxidizing,Object_00067
Corrosive,Object_00008
Radioactive,Object_00236
Oxidizing,Object_00056
Fragile,Object_00026
Explosive,Object_00173
Pressurized,Object_00367
Food,Object_00183
Flammable,Object_00123
Unspecified,Object_00069
Flammable,Object_00137
Fragile,Object_00201
Radioactive,Object_00077
Explosive,Object_00194
Radioactive,Object_00407
Corrosive,Object_00225
Toxic,Object_00203
Corrosive,Object_00237
Radioactive,Object_00211
Oxidizing,Object_00435
Flammable,Object_00177
Explosive,Object_00427
Unspecified,Object_00296
Fragile,Object_00148
Fragile,Object_00120
Toxic,Object_00012
Radioactive,Object_00095
Flammable,Object_00251
Explosive,Object_00281
Radioactive,Object_00428
Toxic,Object_00261
Oxidizing,Object_00337
Unspecified,Object_00387
Corrosive,Object_00068
Corrosive,Object_00330
Food,Object_00038
Toxic,Object_00041
Explosive,Object_00311
Toxic,Object_00050
Oxidizing,Object_00362
Toxic,Object_00129
Pressurized,Object_00405
Flammable,Object_00238
Fragile,Object_00354
Explosive,Object_00168
Toxic,Object_00349
Toxic,Object_00072
Corrosive,Object_00272
Unspecified,Object_00276
Pressurized,Object_00223
Food,Object_00146
Flammable,Object_00161
Food,Object_00002
Pressurized,Object_00171
Flammable,Object_00297
Food,Object_00106
Food,Object_00163
Food,Object_00459
Radioactive,Object_00369
Flammable,Object_00273
Food,Object_00118
Explosive,Object_00306
Oxidizing,Object_00434
Corrosive,Object_00373
Radioactive,Object_00009
Radioactive,Object_00115
Toxic,Object_00352
Pressurized,Object_00232
Food,Object_00344
Corrosive,Object_00088
Oxidizing,Object_00355
Food,Object_00076
Toxic,Object_00117
Pressurized,Object_00162
Food,Object_00246
Food,Object_00421
Corrosive,Object_00141
Corrosive,Object_00130
Fragile,Object_00274
Unspecified,Object_00219
Fragile,Object_00138
Unspecified,Object_00384
Toxic,Object_00205
Unspecified,Object_00167
Oxidizing,Object_00315
Explosive,Object_00060
Fragile,Object_00285
Unspecified,Object_00346
Toxic,Object_00321
Flammable,Object_00286
Pressurized,Object_00253
Explosive,Object_00103
Flammable,Object_00432
Oxidizing,Object_00360
Oxidizing,Object_00295
Corrosive,Object_00240
Pressurized,Object_00415
Explosive,Object_00239
Toxic,Object_00397
Radioactive,Object_00302
Oxidizing,Object_00111
Flammable,Object_00143
Radioactive,Object_00370
Food,Object_00318
Food,Object_00269
Toxic,Object_00447
Radioactive,Object_00292
Corrosive,Object_00262
Radioactive,Object_00436
Corrosive,Object_00409
Unspecified,Object_00178
Food,Object_00152
Food,Object_00176
Radioactive,Object_00224
Corrosive,Object_00001
Food,Object_00091
Corrosive,Object_00342
Flammable,Object_00268
Food,Object_00149
Toxic,Object_00334
Fragile,Object_00379
Food,Object_00393
Oxidizing,Object_00368
Toxic,Object_00348
Food,Object_00157
Radioactive,Object_00339
Radioactive,Object_00027
Pressurized,Object_00209
Fragile,Object_00446
Pressurized,Object_00351
Toxic,Object_00410
Toxic,Object_00204
Toxic,Object_00133
Fragile,Object_00341
Corrosive,Object_00443
Radioactive,Object_00213
Explosive,Object_00398
Fragile,Object_00249
Radioactive,Object_00403
Pressurized,Object_00271
Fragile,Object_00444
Pressurized,Object_00312
Corrosive,Object_00289
Flammable,Object_00301
Food,Object_00266
Oxidizing,Object_00042
Food,Object_00166
Unspecified,Object_00455
Food,Object_00305
Fragile,Object_00356
Pressurized,Object_00395
Toxic,Object_00291
Corrosive,Object_00165
Radioactive,Object_00418
Oxidizing,Object_00218
Food,Object_00107
Unspecified,Object_00135
Corrosive,Object_00222
Corrosive,Object_00457
Flammable,Object_00102
Pressurized,Object_00420
Food,Object_00094
Fragile,Object_00323
Fragile,Object_00433
Food,Object_00017
Food,Object_00252
Toxic,Object_00424
Explosive,Object_00090
Fragile,Object_00093
Toxic,Object_00275
Fragile,Object_00196
Flammable,Object_00100
Fragile,Object_00282
Flammable,Object_00065
Toxic,Object_00156
Food,Object_00023
Pressurized,Object_00391
Flammable,Object_00045
Food,Object_00267
Unspecified,Object_00082
Pressurized,Object_00070
Explosive,Object_00422
Unspecified,Object_00025
Explosive,Object_00307
Fragile,Object_00119
Radioactive,Object_00227
Explosive,Object_00390
Toxic,Object_00417
Corrosive,Object_00126
Food,Object_00131
Pressurized,Object_00085
Radioactive,Object_00185
Food,Object_00229
Food,Object_00270
Fragile,Object_00288
Radioactive,Object_00228
Pressurized,Object_00049
Unspecified,Object_00136
Flammable,Object_00113
Flammable,Object_00193
Oxidizing,Object_00365
Radioactive,Object_00438
Unspecified,Object_00332
Pressurized,Object_00452
Unspecified,Object_00243
