Category,Object
Unspecified,Object_01682
Unspecified,Object_02188
Explosive,Object_05809
Corrosive,Object_00530
Flammable,Object_03412
Pressurized,Object_04916
Explosive,Object_01714
Radioactive,Object_03065
Food,Object_01619
Pressurized,Object_02761
Unspecified,Object_02653
Pressurized,Object_07036
Flammable,Object_02802
Corrosive,Object_07203
Oxidizing,Object_06541
Corrosive,Object_04432
Unspecified,Object_00570
Flammable,Object_04200
Corrosive,Object_01731
Pressurized,Object_02634
Pressurized,Object_02187
Explosive,Object_07223
Explosive,Object_05117
Flammable,Object_03984
Oxidizing,Object_07057
Pressurized,Object_03016
Radioactive,Object_05191
Corrosive,Object_04956
Pressurized,Object_01689
Radioactive,Object_02370
Unspecified,Object_01477
Pressurized,Object_00741
Food,Object_01563
Fragile,Object_06937
Flammable,Object_03357
Fragile,Object_01695
Toxic,Object_07045
Corrosive,Object_01666
Flammable,Object_04228
Radioactive,Object_07376
Pressurized,Object_02022
Toxic,Object_00050
Radioactive,Object_02641
Fragile,Object_03456
Flammable,Object_05063
Radioactive,Object_05833
Explosive,Object_05059
Unspecified,Object_00446
Flammable,Object_04056
Unspecified,Object_03122
Explosive,Object_05400
Flammable,Object_05912
Fragile,Object_02405
Toxic,Object_00771
Explosive,Object_04891
Radioactive,Object_00027
Toxic,Object_06145
Unspecified,Object_00331
Toxic,Object_04466
Corrosive,Object_05570
Corrosive,Object_04746
Toxic,Object_02612
Toxic,Object_05996
Unspecified,Object_06224
Unspecified,Object_00031
Oxidizing,Object_02338
Fragile,Object_04678
Unspecified,Object_03731
Pressurized,Object_03721
Corrosive,Object_06826
Food,Object_00822
Fragile,Object_00618
Pressurized,Object_05086
Flammable,Object_07029
Fragile,Object_02690
Radioactive,Object_03770
Pressurized,Object_07302
Toxic,Object_07267
Pressurized,Object_04750
Flammable,Object_01408
Fragile,Object_06599
Oxidizing,Object_01296
Flammable,Object_06877
Corrosive,Object_05923
Oxidizing,Object_05838
Pressurized,Object_06395
Unspecified,Object_06520
Pressurized,Object_05863
Oxidizing,Object_00478
Toxic,Object_01851
Pressurized,Object_03131
Fragile,Object_00319
Explosive,Object_00033
Radioactive,Object_00220
Pressurized,Object_00810
Unspecified,Object_00574
Unspecified,Object_00711
Corrosive,Object_05375
Radioactive,Object_04958
Unspecified,Object_05637
Unspecified,Object_06352
Unspecified,Object_04342
Explosive,Object_00163
Flammable,Object_01847
Explosive,Object_03332
Toxic,Object_05265
Toxic,Object_00906
Toxic,Object_04802
Flammable,Object_07102
Flammable,Object_04353
Unspecified,Object_04286
Oxidizing,Object_07056
Fragile,Object_03818
Corrosive,Object_04876
Toxic,Object_04230
Unspecified,Object_01693
Explosive,Object_01241
Corrosive,Object_00916
Pressurized,Object_02138
Toxic,Object_03534
Pressurized,Object_05455
Pressurized,Object_02584
Radioactive,Object_03698
Toxic,Object_00818
Food,Object_01074
Radioactive,Object_02525
Fragile,Object_00652
Toxic,Object_01990
Toxic,Object_00959
Fragile,Object_01676
Food,Object_06315
Explosive,Object_07289
Toxic,Object_01927
Oxidizing,Object_05814
Unspecified,Object_01168
Unspecified,Object_05638
Radioactive,Object_06147
