Category,Object
Pressurized,Object_00071
Fragile,Object_00038
Fragile,Object_00119
Corrosive,Object_00109
Flammable,Object_00019
Radioactive,Object_00100
Flammable,Object_00096
Explosive,Object_00092
Fragile,Object_00112
Food,Object_00030
Pressurized,Object_00118
Corrosive,Object_00022
Radioactive,Object_00085
Corrosive,Object_00108
Toxic,Object_00082
Explosive,Object_00075
Explosive,Object_00123
Corrosive,Object_00078
Fragile,Object_00125
Fragile,Object_00042
Pressurized,Object_00076
Pressurized,Object_00124
Radioactive,Object_00113
Explosive,Object_00072
Pressurized,Object_00052
Unspecified,Object_00097
Food,Object_00014
Unspecified,Object_00063
Oxidizing,Object_00013
Food,Object_00102
Unspecified,Object_00057
Fragile,Object_00070
Oxidizing,Object_00126
Toxic,Object_00056
Toxic,Object_00032
Flammable,Object_00127
Explosive,Object_00034
Explosive,Object_00094
Pressurized,Object_00129
Corrosive,Object_00111
Radioactive,Object_00009
Radioactive,Object_00012
Pressurized,Object_00007
Pressurized,Object_00084
Unspecified,Object_00024
Explosive,Object_00040
Radioactive,Object_00077
Pressurized,Object_00023
Corrosive,Object_00090
Fragile,Object_00093
Flammable,Object_00049
Flammable,Object_00035
Corrosive,Object_00016
Corrosive,Object_00083
Flammable,Object_00002
Corrosive,Object_00001
Unspecified,Object_00054
Pressurized,Object_00116
Explosive,Object_00036
Explosive,Object_00073
Toxic,Object_00103
Oxidizing,Object_00067
Corrosive,Object_00062
Radioactive,Object_00099
Corrosive,Object_00004
Oxidizing,Object_00017
Toxic,Object_00043
Explosive,Object_00065
Pressurized,Object_00010
Unspecified,Object_00080
Food,Object_00046
Explosive,Object_00041
Fragile,Object_00086
Fragile,Object_00110
Food,Object_00025
Flammable,Object_00029
Pressurized,Object_00128
Flammable,Object_00079
Unspecified,Object_00031
Food,Object_00117
Food,Object_00027
Explosive,Object_00047
Flammable,Object_00060
Flammable,Object_00101
Pressurized,Object_00044
Fragile,Object_00020
Pressurized,Object_00021
Radioactive,Object_00106
Oxidizing,Object_00098
Explosive,Object_00074
Explosive,Object_00033
Flammable,Object_00008
Unspecified,Object_00105
Radioactive,Object_00066
Food,Object_00089
Oxidizing,Object_00026
Explosive,Object_00055
Food,Object_00104
Oxidizing,Object_00081
Flammable,Object_00091
Fragile,Object_00059
Explosive,Object_00005
Fragile,Object_00122
Explosive,Object_00015
Flammable,Object_00051
Unspecified,Object_00069
Oxidizing,Object_00018
Flammable,Object_00095
Radioactive,Object_00058
Corrosive,Object_00130
Toxic,Object_00120
Pressurized,Object_00006
Food,Object_00087
Oxidizing,Object_00064
Fragile,Object_00037
Toxic,Object_00011
Explosive,Object_00053
Fragile,Object_00003
Flammable,Object_00121
Toxic,Object_00045
Food,Object_00115
Radioactive,Object_00088
Food,Object_00048
Flammable,Object_00039
Food,Object_00114
Corrosive,Object_00107
Oxidizing,Object_00061
Toxic,Object_00050
Fragile,Object_00028
Radioactive,Object_00068
