Type, Name
Unspecified,Notebook
Corrosive,Sulfuric acid
Food,Chicken
Unspecified,Book
Corrosive,Nitric acid
Oxidizing,Potassium permanganate
Radioactive,Uranium
Pressurized,Aerosol spray
Fragile,Glass bottle
Unspecified,Backpack
Fragile,Light bulb
Food,Bread
Fragile,Porcelain
Radioactive,Plutonium
Oxidizing,Liquid oxygen
Unspecified,Umbrella
Toxic,Asbestos
Food,Cheese
Radioactive,Cobalt-60
Oxidizing,Hydrogen peroxide
Explosive,Firecracker
Toxic,Lead
Radioactive,Nuclear waste
Food,Milk
Flammable,Matches
Explosive,Gunpowder
Fragile,Vase
Unspecified,Chair
Explosive,Dynamite
Fragile,Mirror
Flammable,Aerosol spray
Toxic,Cyanide
Unspecified,Keychain
Pressurized,Propane cylinder
Toxic,Arsenic
Food,Apple
Corrosive,Battery acid
Flammable,Candle
Unspecified,Sticker
Radioactive,Medical isotope
Toxic,Insecticide
Fragile,Wine glass
Food,Pasta
Food,Canned food
Toxic,Pesticide
Pressurized,Fire extinguisher
Flammable,Paint
Corrosive,Hydrochloric acid
Flammable,Lighter
Oxidizing,Ammonium nitrate
Flammable,Oil
Corrosive,Caustic soda
Unspecified,Socks
Explosive,Detonator
Food,Rice
Food,Yogurt
Unspecified,Toy car
Unspecified,Pen
Fragile,Plate
Pressurized,Compressed gas cylinder
