Category,Object
Radioactive,Object_00064
Pressurized,Object_00068
Oxidizing,Object_00042
Unspecified,Object_00045
Food,Object_00024
Unspecified,Object_00081
Explosive,Object_00100
Oxidizing,Object_00074
Pressurized,Object_00053
Radioactive,Object_00159
Fragile,Object_00119
Pressurized,Object_00075
Flammable,Object_00001
Pressurized,Object_00111
Pressurized,Object_00014
Flammable,Object_00152
Unspecified,Object_00069
Oxidizing,Object_00131
Corrosive,Object_00088
Pressurized,Object_00136
Unspecified,Object_00141
Fragile,Object_00002
Oxidizing,Object_00060
Toxic,Object_00154
Flammable,Object_00079
Toxic,Object_00130
Radioactive,Object_00109
Fragile,Object_00140
Food,Object_00150
Explosive,Object_00134
Flammable,Object_00006
Explosive,Object_00117
Corrosive,Object_00016
Explosive,Object_00137
Food,Object_00043
Explosive,Object_00145
Pressurized,Object_00010
Toxic,Object_00027
Food,Object_00020
Explosive,Object_00123
Food,Object_00149
Pressurized,Object_00048
Pressurized,Object_00041
Explosive,Object_00146
Radioactive,Object_00015
Oxidizing,Object_00113
Radioactive,Object_00030
Flammable,Object_00046
Explosive,Object_00059
Unspecified,Object_00089
Flammable,Object_00157
Toxic,Object_00049
Oxidizing,Object_00047
Explosive,Object_00029
Food,Object_00121
Flammable,Object_00082
Flammable,Object_00094
Oxidizing,Object_00073
Radioactive,Object_00021
Unspecified,Object_00032
Fragile,Object_00126
Radioactive,Object_00018
Unspecified,Object_00040
Explosive,Object_00108
Food,Object_00112
Unspecified,Object_00013
Unspecified,Object_00155
Pressurized,Object_00091
Food,Object_00087
Unspecified,Object_00133
Explosive,Object_00110
Toxic,Object_00004
Toxic,Object_00116
Pressurized,Object_00083
Oxidizing,Object_00151
Explosive,Object_00129
Corrosive,Object_00009
Pressurized,Object_00139
Fragile,Object_00106
Corrosive,Object_00086
Flammable,Object_00096
Food,Object_00127
Food,Object_00125
Pressurized,Object_00084
Unspecified,Object_00037
Food,Object_00051
Corrosive,Object_00135
Food,Object_00092
Corrosive,Object_00038
Unspecified,Object_00114
Pressurized,Object_00044
Explosive,Object_00055
Corrosive,Object_00115
Unspecified,Object_00148
Radioactive,Object_00005
Oxidizing,Object_00138
Oxidizing,Object_00035
Radioactive,Object_00011
Oxidizing,Object_00132
Radioactive,Object_00003
Corrosive,Object_00008
Radioactive,Object_00099
Flammable,Object_00054
Unspecified,Object_00104
Flammable,Object_00160
Radioactive,Object_00124
Food,Object_00031
Pressurized,Object_00058
Radioactive,Object_00017
Unspecified,Object_00007
Radioactive,Object_00098
Toxic,Object_00065
Oxidizing,Object_00122
Unspecified,Object_00102
Corrosive,Object_00034
Unspecified,Object_00078
Flammable,Object_00156
Fragile,Object_00097
Oxidizing,Object_00120
Pressurized,Object_00057
Toxic,Object_00095
Explosive,Object_00105
Food,Object_00076
Corrosive,Object_00085
Pressurized,Object_00063
Food,Object_00036
Toxic,Object_00103
Pressurized,Object_00061
Fragile,Object_00090
Food,Object_00144
Explosive,Object_00039
Explosive,Object_00071
Food,Object_00080
Pressurized,Object_00070
Food,Object_00028
Unspecified,Object_00026
Toxic,Object_00019
Unspecified,Object_00142
Pressurized,Object_00072
Flammable,Object_00062
Oxidizing,Object_00107
Flammable,Object_00158
Fragile,Object_00033
Flammable,Object_00052
Pressurized,Object_00050
Toxic,Object_00022
Radioactive,Object_00025
Oxidizing,Object_00153
Corrosive,Object_00066
Food,Object_00093
Pressurized,Object_00118
Toxic,Object_00143
Flammable,Object_00128
Food,Object_00012
Toxic,Object_00023
Corrosive,Object_00077
Oxidizing,Object_00147
Toxic,Object_00067
Radioactive,Object_00056
Toxic,Object_00101
