Category,Object
Radioactive,Object_07497
Oxidizing,Object_04313
Food,Object_02274
Radioactive,Object_07196
Food,Object_03967
Toxic,Object_05405
Pressurized,Object_01549
Oxidizing,Object_05358
Food,Object_06112
Explosive,Object_04349
Explosive,Object_05435
Explosive,Object_02889
Fragile,Object_04308
Radioactive,Object_01656
Toxic,Object_03179
Flammable,Object_03192
Flammable,Object_02915
Explosive,Object_02761
Explosive,Object_00501
Pressurized,Object_03733
Unspecified,Object_00856
Unspecified,Object_02392
Fragile,Object_00781
Fragile,Object_06701
Radioactive,Object_06318
Explosive,Object_03787
Toxic,Object_03581
Radioactive,Object_04465
Pressurized,Object_07294
Toxic,Object_07352
Food,Object_02865
Food,Object_01971
Fragile,Object_03249
Oxidizing,Object_00971
Fragile,Object_01464
Explosive,Object_05382
Unspecified,Object_01276
Pressurized,Object_03965
Unspecified,Object_02424
Corrosive,Object_02502
Explosive,Object_01406
Flammable,Object_02729
Pressurized,Object_05440
Oxidizing,Object_07271
Pressurized,Object_00023
Food,Object_06823
Pressurized,Object_05868
Food,Object_00340
Explosive,Object_06655
Explosive,Object_04260
Food,Object_05105
Explosive,Object_02800
Pressurized,Object_00870
Unspecified,Object_02285
Food,Object_05072
Fragile,Object_06790
Radioactive,Object_00655
Oxidizing,Object_04387
Explosive,Object_01639
Fragile,Object_04232
Food,Object_02511
Pressurized,Object_00279
Flammable,Object_07337
Food,Object_05697
Explosive,Object_02064
Fragile,Object_03092
Unspecified,Object_07056
Fragile,Object_03893
Explosive,Object_00619
Flammable,Object_06053
Corrosive,Object_01654
Fragile,Object_04965
Toxic,Object_01843
Corrosive,Object_07409
Toxic,Object_05920
Food,Object_05785
Toxic,Object_01852
Food,Object_03897
Unspecified,Object_03593
Toxic,Object_00329
Radioactive,Object_02417
Pressurized,Object_01909
Flammable,Object_03875
Corrosive,Object_01962
Radioactive,Object_00829
Food,Object_01806
Fragile,Object_05731
Corrosive,Object_04016
Radioactive,Object_01969
Toxic,Object_04981
Food,Object_02092
Food,Object_06003
Food,Object_04722
Toxic,Object_06398
Toxic,Object_01897
Pressurized,Object_05606
Corrosive,Object_00389
Food,Object_00633
Pressurized,Object_04613
Explosive,Object_03941
Flammable,Object_05233
Toxic,Object_02828
Explosive,Object_05513
Oxidizing,Object_07033
Food,Object_04673
Explosive,Object_00181
Fragile,Object_06688
Food,Object_00294
Food,Object_06780
Food,Object_07190
Unspecified,Object_05412
Radioactive,Object_02414
Flammable,Object_02811
Pressurized,Object_05875
Flammable,Object_04169
Radioactive,Object_06646
Toxic,Object_02929
Explosive,Object_02997
Oxidizing,Object_00014
Food,Object_06557
Unspecified,Object_01683
Unspecified,Object_00550
Radioactive,Object_00631
Oxidizing,Object_05507
Radioactive,Object_02281
Pressurized,Object_03413
Oxidizing,Object_04493
Food,Object_01692
Food,Object_03188
Oxidizing,Object_05590
Food,Object_04928
Oxidizing,Object_05928
Fragile,Object_06549
Corrosive,Object_04684
Toxic,Object_00461
Fragile,Object_04282
Toxic,Object_01478
Fragile,Object_03707
Flammable,Object_00747
Fragile,Object_07210
Flammable,Object_04107
Oxidizing,Object_03545
Fragile,Object_07142
Food,Object_01532
Unspecified,Object_06852
Flammable,Object_07366
Unspecified,Object_07227
Oxidizing,Object_00345
Pressurized,Object_04648
Flammable,Object_07296
Pressurized,Object_03894
Oxidizing,Object_04982
Flammable,Object_05871
Corrosive,Object_01357
Radioactive,Object_05759
Unspecified,Object_00685
Oxidizing,Object_00401
Pressurized,Object_00179
Pressurized,Object_04835
Unspecified,Object_05208
Food,Object_01340
Flammable,Object_02487
Explosive,Object_07388
Food,Object_01457
Corrosive,Object_07505
Fragile,Object_02859
Toxic,Object_04811
Corrosive,Object_01963
Food,Object_02034
Toxic,Object_07144
Radioactive,Object_03524
Oxidizing,Object_05586
Pressurized,Object_01246
Food,Object_02126
Pressurized,Object_05655
Flammable,Object_04319
Pressurized,Object_03757
Toxic,Object_03642
Oxidizing,Object_07465
Toxic,Object_06308
Flammable,Object_07581
Toxic,Object_07198
Flammable,Object_03098
Oxidizing,Object_05286
Oxidizing,Object_06684
Fragile,Object_02279
Flammable,Object_01636
Corrosive,Object_03658
Toxic,Object_07458
Food,Object_06225
Radioactive,Object_01215
Toxic,Object_02382
Unspecified,Object_06525
Food,Object_05398
Corrosive,Object_06581
Corrosive,Object_01607
Explosive,Object_03610
Toxic,Object_02002
Fragile,Object_05223
Radioactive,Object_02224
Explosive,Object_03202
Oxidizing,Object_00275
Corrosive,Object_02977
Fragile,Object_01647
Fragile,Object_00563
Fragile,Object_00400
Food,Object_06801
Oxidizing,Object_07225
Pressurized,Object_04940
Food,Object_07045
Pressurized,Object_01005
Corrosive,Object_06294
Explosive,Object_04687
Radioactive,Object_05483
Explosive,Object_00454
Food,Object_04924
Fragile,Object_05970
Flammable,Object_04718
Radioactive,Object_02208
Fragile,Object_04552
Corrosive,Object_05335
Food,Object_00346
Oxidizing,Object_04428
Unspecified,Object_07035
Pressurized,Object_04013
Toxic,Object_04516
Unspecified,Object_06462
Flammable,Object_01542
Radioactive,Object_06271
Corrosive,Object_03466
Flammable,Object_02773
Corrosive,Object_07068
Flammable,Object_05140
Oxidizing,Object_05854
Corrosive,Object_05750
Fragile,Object_01304
Pressurized,Object_00118
Pressurized,Object_07254
Food,Object_00236
Radioactive,Object_03728
Pressurized,Object_06092
Pressurized,Object_05304
Radioactive,Object_01261
Oxidizing,Object_01906
Flammable,Object_03571
Pressurized,Object_06337
Corrosive,Object_06153
Pressurized,Object_01715
Fragile,Object_05848
Fragile,Object_07569
Oxidizing,Object_04073
Oxidizing,Object_01082
Radioactive,Object_01222
Explosive,Object_06365
Fragile,Object_03982
Food,Object_00694
Oxidizing,Object_02607
Fragile,Object_04891
Pressurized,Object_02217
Pressurized,Object_02254
Fragile,Object_02443
Food,Object_07559
Flammable,Object_03601
Oxidizing,Object_02079
Pressurized,Object_00882
Corrosive,Object_01489
Explosive,Object_01055
Corrosive,Object_01393
Explosive,Object_02762
Unspecified,Object_04120
Pressurized,Object_00150
Corrosive,Object_04688
Pressurized,Object_06638
Fragile,Object_04063
Unspecified,Object_05853
Food,Object_05192
Fragile,Object_05946
Unspecified,Object_02802
Explosive,Object_02185
Pressurized,Object_01296
Toxic,Object_01673
Explosive,Object_01530
Oxidizing,Object_04133
Pressurized,Object_00349
Toxic,Object_07037
Fragile,Object_06338
Fragile,Object_05156
Oxidizing,Object_04800
Toxic,Object_04983
Oxidizing,Object_03647
Toxic,Object_04213
Pressurized,Object_04760
Oxidizing,Object_01961
Corrosive,Object_02937
Toxic,Object_00038
Explosive,Object_01615
Oxidizing,Object_00483
Explosive,Object_02153
Flammable,Object_00253
Toxic,Object_04745
Corrosive,Object_06468
Flammable,Object_01838
Corrosive,Object_05523
Radioactive,Object_05748
Explosive,Object_05634
