Category,Object
Toxic,Object_02010
Food,Object_00481
Corrosive,Object_00946
Radioactive,Object_01925
Toxic,Object_02596
Fragile,Object_01103
Toxic,Object_02402
Flammable,Object_02724
Toxic,Object_00216
Pressurized,Object_01067
Oxidizing,Object_00983
Pressurized,Object_00606
Pressurized,Object_00716
Food,Object_02645
Corrosive,Object_02348
Fragile,Object_02459
Radioactive,Object_01275
Radioactive,Object_01870
Corrosive,Object_02697
Flammable,Object_01808
Fragile,Object_00544
Toxic,Object_00053
Fragile,Object_02030
Pressurized,Object_00786
Unspecified,Object_00122
Unspecified,Object_00935
Radioactive,Object_01809
Fragile,Object_00110
Corrosive,Object_01203
Oxidizing,Object_03117
Pressurized,Object_02500
Pressurized,Object_00971
Radioactive,Object_02271
Toxic,Object_01760
Radioactive,Object_02081
Radioactive,Object_02851
Food,Object_00317
Oxidizing,Object_02579
Corrosive,Object_02923
Corrosive,Object_02311
Explosive,Object_02093
Corrosive,Object_02784
Pressurized,Object_02000
Fragile,Object_03138
Fragile,Object_00046
Explosive,Object_00734
Radioactive,Object_03111
Explosive,Object_02468
Unspecified,Object_01701
Explosive,Object_01442
Food,Object_00427
Pressurized,Object_00931
Pressurized,Object_01080
Corrosive,Object_02642
Pressurized,Object_01425
Unspecified,Object_02125
Fragile,Object_01558
Toxic,Object_00907
Flammable,Object_02190
Toxic,Object_01462
Fragile,Object_01294
Fragile,Object_00945
Radioactive,Object_02476
Fragile,Object_02754
Corrosive,Object_00926
Corrosive,Object_02709
Explosive,Object_00045
Food,Object_00445
Explosive,Object_02521
Pressurized,Object_02509
Radioactive,Object_02219
Radioactive,Object_01477
Oxidizing,Object_01375
Unspecified,Object_02583
Radioactive,Object_02378
Fragile,Object_02994
Radioactive,Object_02182
Unspecified,Object_01869
Corrosive,Object_02639
Flammable,Object_00483
Corrosive,Object_00475
Oxidizing,Object_00207
Flammable,Object_01901
Food,Object_01133
Oxidizing,Object_02365
Unspecified,Object_01015
Toxic,Object_03082
Flammable,Object_01780
Oxidizing,Object_00492
Pressurized,Object_00853
Oxidizing,Object_01758
Toxic,Object_01008
Pressurized,Object_02692
Radioactive,Object_01438
Toxic,Object_01365
Food,Object_00162
Corrosive,Object_00649
Corrosive,Object_01096
Corrosive,Object_00569
Food,Object_02144
Pressurized,Object_00438
Oxidizing,Object_00521
Fragile,Object_02341
Toxic,Object_00731
Toxic,Object_01718
Food,Object_03018
Oxidizing,Object_02262
Unspecified,Object_00992
Fragile,Object_02183
Pressurized,Object_00097
Pressurized,Object_00206
Toxic,Object_01512
Toxic,Object_00662
Unspecified,Object_03121
Fragile,Object_00325
Oxidizing,Object_02803
Explosive,Object_02469
Explosive,Object_00851
Food,Object_01966
Toxic,Object_01574
Unspecified,Object_01137
Radioactive,Object_00147
Explosive,Object_00866
Corrosive,Object_02748
Unspecified,Object_00510
Fragile,Object_01653
Corrosive,Object_00849
Unspecified,Object_02323
Unspecified,Object_00028
Radioactive,Object_02982
Radioactive,Object_00090
Oxidizing,Object_01062
Pressurized,Object_00787
Corrosive,Object_00128
Unspecified,Object_00977
Food,Object_01553
Unspecified,Object_00360
Toxic,Object_00835
Oxidizing,Object_02514
Corrosive,Object_02969
Pressurized,Object_00400
Oxidizing,Object_00625
Food,Object_02763
Fragile,Object_01556
Explosive,Object_01524
Toxic,Object_02373
Explosive,Object_02720
Pressurized,Object_02320
Fragile,Object_03120
Pressurized,Object_02956
Explosive,Object_01146
Corrosive,Object_00757
Food,Object_00847
Toxic,Object_01110
