Category,Object
Toxic,Object_00048
Toxic,Object_00121
Flammable,Object_00114
Radioactive,Object_00091
Radioactive,Object_00011
Flammable,Object_00090
Flammable,Object_00088
Flammable,Object_00074
Radioactive,Object_00129
Oxidizing,Object_00097
Toxic,Object_00108
Unspecified,Object_00047
Pressurized,Object_00123
Food,Object_00119
Unspecified,Object_00068
Fragile,Object_00110
Toxic,Object_00107
Fragile,Object_00054
Food,Object_00075
Corrosive,Object_00046
Toxic,Object_00041
Flammable,Object_00102
Radioactive,Object_00116
Toxic,Object_00039
Fragile,Object_00002
Oxidizing,Object_00087
Unspecified,Object_00021
Unspecified,Object_00053
Explosive,Object_00086
Oxidizing,Object_00095
Pressurized,Object_00124
Oxidizing,Object_00026
Corrosive,Object_00092
Pressurized,Object_00100
Explosive,Object_00034
Fragile,Object_00025
Food,Object_00027
Corrosive,Object_00063
Flammable,Object_00120
Radioactive,Object_00105
Food,Object_00111
Pressurized,Object_00080
Fragile,Object_00004
Toxic,Object_00007
Fragile,Object_00023
Corrosive,Object_00061
Oxidizing,Object_00103
Fragile,Object_00001
Fragile,Object_00060
Flammable,Object_00073
Explosive,Object_00024
Radioactive,Object_00032
Toxic,Object_00101
Explosive,Object_00031
Unspecified,Object_00018
Pressurized,Object_00113
Oxidizing,Object_00062
Explosive,Object_00071
Flammable,Object_00057
Radioactive,Object_00099
Flammable,Object_00014
Radioactive,Object_00112
Pressurized,Object_00020
Fragile,Object_00066
Oxidizing,Object_00028
Radioactive,Object_00059
Radioactive,Object_00015
Unspecified,Object_00064
Radioactive,Object_00033
Radioactive,Object_00044
Fragile,Object_00038
Fragile,Object_00128
Flammable,Object_00084
Pressurized,Object_00035
Corrosive,Object_00094
Flammable,Object_00076
Oxidizing,Object_00109
Fragile,Object_00083
Explosive,Object_00019
Flammable,Object_00009
Unspecified,Object_00082
Unspecified,Object_00010
Pressurized,Object_00077
Oxidizing,Object_00003
Flammable,Object_00078
Fragile,Object_00030
Flammable,Object_00079
Pressurized,Object_00058
Explosive,Object_00055
Fragile,Object_00115
Explosive,Object_00127
Unspecified,Object_00040
Fragile,Object_00045
Flammable,Object_00125
Food,Object_00052
Fragile,Object_00012
Oxidizing,Object_00093
Pressurized,Object_00013
Radioactive,Object_00022
Oxidizing,Object_00118
Flammable,Object_00126
Flammable,Object_00117
Food,Object_00122
Radioactive,Object_00016
Unspecified,Object_00089
Pressurized,Object_00008
Flammable,Object_00069
Toxic,Object_00036
Flammable,Object_00106
Pressurized,Object_00070
Corrosive,Object_00072
Unspecified,Object_00017
Explosive,Object_00098
Fragile,Object_00006
Flammable,Object_00005
Corrosive,Object_00065
Radioactive,Object_00067
Unspecified,Object_00096
Fragile,Object_00085
Corrosive,Object_00037
Oxidizing,Object_00029
Toxic,Object_00050
Toxic,Object_00042
Flammable,Object_00081
Unspecified,Object_00130
Radioactive,Object_00056
Explosive,Object_00104
Toxic,Object_00051
Unspecified,Object_00049
Food,Object_00043
