Category,Object
Pressurized,Objet_00674
Explosive,Objet_00525
Unspecified,Objet_01102
Food,Objet_01478
Radioactive,Objet_01259
Radioactive,Objet_00558
Fragile,Objet_00905
Corrosive,Objet_01161
Flammable,Objet_01111
Pressurized,Objet_00367
Toxic,Objet_00498
Fragile,Objet_00450
Toxic,Objet_01308
Toxic,Objet_01226
Toxic,Objet_01449
Toxic,Objet_00239
Toxic,Objet_01041
Flammable,Objet_00610
Flammable,Objet_00409
Fragile,Objet_00027
Toxic,Objet_00482
Oxidizing,Objet_00682
Unspecified,Objet_00379
Food,Objet_01420
Explosive,Objet_01418
Fragile,Objet_00390
Unspecified,Objet_01214
Flammable,Objet_00368
Pressurized,Objet_01352
Explosive,Objet_00689
Radioactive,Objet_01103
Pressurized,Objet_01290
Unspecified,Objet_01191
Radioactive,Objet_00589
Toxic,Objet_00779
Explosive,Objet_01123
Toxic,Objet_00353
Fragile,Objet_01372
Oxidizing,Objet_01284
Fragile,Objet_00382
Flammable,Objet_00545
Pressurized,Objet_00430
Explosive,Objet_00803
Food,Objet_00476
Flammable,Objet_00912
Unspecified,Objet_00840
Corrosive,Objet_00281
Pressurized,Objet_01127
Food,Objet_01176
Radioactive,Objet_01112
Fragile,Objet_01467
Fragile,Objet_01071
Corrosive,Objet_00144
Food,Objet_01033
Flammable,Objet_00017
Explosive,Objet_01342
Oxidizing,Objet_00471
Food,Objet_00613
Unspecified,Objet_00267
Pressurized,Objet_00022
Food,Objet_01327
Food,Objet_00474
Flammable,Objet_01258
Fragile,Objet_01202
Pressurized,Objet_00485
Flammable,Objet_00745
Flammable,Objet_00561
Flammable,Objet_00490
Toxic,Objet_00216
Explosive,Objet_00925
Explosive,Objet_00678
Flammable,Objet_01399
Oxidizing,Objet_00115
Flammable,Objet_00919
Food,Objet_01175
Fragile,Objet_01013
Pressurized,Objet_00321
Food,Objet_00350
Unspecified,Objet_01128
Toxic,Objet_00365
Toxic,Objet_00827
Toxic,Objet_00942
Corrosive,Objet_01320
Radioactive,Objet_00601
Radioactive,Objet_00916
Food,Objet_00697
Corrosive,Objet_00653
Flammable,Objet_01081
Corrosive,Objet_00637
Fragile,Objet_01348
Flammable,Objet_00356
Explosive,Objet_00611
Food,Objet_00237
Explosive,Objet_01118
Corrosive,Objet_00183
Explosive,Objet_00828
Unspecified,Objet_00789
Explosive,Objet_00707
Radioactive,Objet_00569
Fragile,Objet_01125
Food,Objet_00882
Pressurized,Objet_01425
Food,Objet_01281
Corrosive,Objet_00416
Corrosive,Objet_00820
Fragile,Objet_00472
Unspecified,Objet_01335
Fragile,Objet_00594
Pressurized,Objet_01026
Radioactive,Objet_00675
Explosive,Objet_00447
Toxic,Objet_00143
Explosive,Objet_01474
Fragile,Objet_01242
Unspecified,Objet_00690
Toxic,Objet_00529
Explosive,Objet_01064
Food,Objet_01464
Pressurized,Objet_00358
Radioactive,Objet_00131
Oxidizing,Objet_01300
Fragile,Objet_01452
Flammable,Objet_01344
Explosive,Objet_01035
Radioactive,Objet_00875
Unspecified,Objet_00288
Radioactive,Objet_00681
Pressurized,Objet_00308
Fragile,Objet_00575
Unspecified,Objet_00710
Corrosive,Objet_01349
Fragile,Objet_00846
Corrosive,Objet_01462
Oxidizing,Objet_00259
Food,Objet_01059
Corrosive,Objet_00598
Flammable,Objet_00116
Radioactive,Objet_00673
Corrosive,Objet_00970
Pressurized,Objet_00923
Radioactive,Objet_01174
Oxidizing,Objet_00135
Fragile,Objet_00928
Oxidizing,Objet_01268
Unspecified,Objet_00581
Toxic,Objet_00062
Toxic,Objet_01447
Toxic,Objet_00804
Unspecified,Objet_00349
Food,Objet_00507
Unspecified,Objet_00396
Flammable,Objet_00130
Pressurized,Objet_00790
Food,Objet_00631
Oxidizing,Objet_01077
Flammable,Objet_00054
Toxic,Objet_01162
Explosive,Objet_00974
Fragile,Objet_01183
Food,Objet_00303
Fragile,Objet_00481
Radioactive,Objet_00376
Radioactive,Objet_01468
Food,Objet_00874
Oxidizing,Objet_00553
Corrosive,Objet_00976
Toxic,Objet_00398
Flammable,Objet_00284
Oxidizing,Objet_00887
Unspecified,Objet_00419
Fragile,Objet_00339
Flammable,Objet_00663
Fragile,Objet_01014
Unspecified,Objet_00650
Radioactive,Objet_00811
Oxidizing,Objet_01271
Flammable,Objet_00137
Unspecified,Objet_00967
Unspecified,Objet_00552
Corrosive,Objet_00955
Unspecified,Objet_01428
Food,Objet_00221
Oxidizing,Objet_00251
Food,Objet_00290
Explosive,Objet_00488
Radioactive,Objet_00596
Corrosive,Objet_01166
Explosive,Objet_00953
Unspecified,Objet_00807
Unspecified,Objet_01400
Corrosive,Objet_01135
Explosive,Objet_00234
Oxidizing,Objet_00231
Food,Objet_01435
Corrosive,Objet_00573
Corrosive,Objet_01229
Unspecified,Objet_01432
Unspecified,Objet_00413
Food,Objet_00045
Food,Objet_00415
Pressurized,Objet_00695
Flammable,Objet_00630
Radioactive,Objet_01060
Food,Objet_00338
Fragile,Objet_00914
Flammable,Objet_01472
Toxic,Objet_01475
Corrosive,Objet_00091
Unspecified,Objet_01404
Fragile,Objet_00342
Radioactive,Objet_00068
Flammable,Objet_00998
Corrosive,Objet_00635
Explosive,Objet_01045
Food,Objet_00566
Oxidizing,Objet_00834
Radioactive,Objet_01439
Flammable,Objet_01078
Corrosive,Objet_00025
Explosive,Objet_01223
Food,Objet_01146
Oxidizing,Objet_00446
Corrosive,Objet_01110
Flammable,Objet_00112
Explosive,Objet_00985
Food,Objet_00621
Unspecified,Objet_00412
Radioactive,Objet_00174
Unspecified,Objet_00123
Radioactive,Objet_01343
Fragile,Objet_01465
Oxidizing,Objet_00500
Oxidizing,Objet_00800
Toxic,Objet_00614
Toxic,Objet_01138
Flammable,Objet_00715
Food,Objet_00959
Food,Objet_00317
Pressurized,Objet_00722
Unspecified,Objet_01015
Corrosive,Objet_00931
Toxic,Objet_01043
Oxidizing,Objet_01131
Food,Objet_00751
Explosive,Objet_00314
Food,Objet_01309
Corrosive,Objet_00777
Fragile,Objet_00757
Fragile,Objet_00276
Toxic,Objet_00717
Explosive,Objet_00623
Unspecified,Objet_00248
Toxic,Objet_00387
Explosive,Objet_00195
Corrosive,Objet_00065
Food,Objet_00750
Food,Objet_00873
Toxic,Objet_00968
Food,Objet_01050
Radioactive,Objet_00664
Pressurized,Objet_00632
Oxidizing,Objet_00492
Toxic,Objet_01163
Unspecified,Objet_00580
Toxic,Objet_00749
Flammable,Objet_00066
