Category,Object
Food,Object_00190
Pressurized,Object_00727
Corrosive,Object_00262
Flammable,Object_00692
Toxic,Object_00265
Flammable,Object_00064
Fragile,Object_00066
Pressurized,Object_00722
Toxic,Object_00589
Oxidizing,Object_00400
Oxidizing,Object_00224
Oxidizing,Object_00704
Unspecified,Object_00305
Flammable,Object_00015
Oxidizing,Object_00440
Fragile,Object_00483
Corrosive,Object_00691
Toxic,Object_00230
Fragile,Object_00365
Pressurized,Object_00191
Food,Object_00211
Oxidizing,Object_00434
Flammable,Object_00375
Radioactive,Object_00786
Fragile,Object_00499
Food,Object_00003
Unspecified,Object_00370
Pressurized,Object_00067
Radioactive,Object_00735
Radioactive,Object_00052
Flammable,Object_00683
Pressurized,Object_00130
Radioactive,Object_00718
Explosive,Object_00570
Fragile,Object_00213
Oxidizing,Object_00769
Explosive,Object_00720
Corrosive,Object_00672
Toxic,Object_00660
Oxidizing,Object_00529
Corrosive,Object_00054
Toxic,Object_00572
Explosive,Object_00157
Flammable,Object_00109
Pressurized,Object_00194
Corrosive,Object_00244
Pressurized,Object_00495
Fragile,Object_00542
Radioactive,Object_00150
Food,Object_00633
Toxic,Object_00669
Pressurized,Object_00568
Pressurized,Object_00629
Unspecified,Object_00442
Oxidizing,Object_00730
Toxic,Object_00468
Corrosive,Object_00640
Unspecified,Object_00030
Food,Object_00623
Food,Object_00536
Pressurized,Object_00655
Pressurized,Object_00508
Corrosive,Object_00146
Flammable,Object_00100
Toxic,Object_00668
Pressurized,Object_00245
Toxic,Object_00522
Explosive,Object_00544
Oxidizing,Object_00745
Explosive,Object_00162
Toxic,Object_00706
Food,Object_00647
Toxic,Object_00744
Oxidizing,Object_00256
Corrosive,Object_00302
Toxic,Object_00186
Corrosive,Object_00281
Fragile,Object_00092
Radioactive,Object_00618
Corrosive,Object_00153
Explosive,Object_00002
Explosive,Object_00381
Flammable,Object_00606
Pressurized,Object_00181
Flammable,Object_00346
Food,Object_00597
Fragile,Object_00172
Unspecified,Object_00418
Unspecified,Object_00304
Food,Object_00477
Oxidizing,Object_00790
Corrosive,Object_00443
Oxidizing,Object_00037
Flammable,Object_00641
Pressurized,Object_00733
Toxic,Object_00693
Food,Object_00399
Flammable,Object_00319
Food,Object_00675
Unspecified,Object_00743
Explosive,Object_00599
Toxic,Object_00605
Toxic,Object_00350
Toxic,Object_00460
Radioactive,Object_00609
Toxic,Object_00462
Explosive,Object_00105
Food,Object_00339
Pressurized,Object_00010
Oxidizing,Object_00165
Pressurized,Object_00320
Oxidizing,Object_00272
Toxic,Object_00077
Unspecified,Object_00728
Flammable,Object_00123
Pressurized,Object_00698
Toxic,Object_00562
Radioactive,Object_00107
Flammable,Object_00368
Oxidizing,Object_00554
Pressurized,Object_00307
Toxic,Object_00278
Food,Object_00615
Oxidizing,Object_00019
Food,Object_00415
Unspecified,Object_00369
Radioactive,Object_00018
Flammable,Object_00784
Corrosive,Object_00798
Flammable,Object_00215
Oxidizing,Object_00360
Pressurized,Object_00087
Corrosive,Object_00709
Oxidizing,Object_00021
Toxic,Object_00550
Oxidizing,Object_00286
Pressurized,Object_00453
Food,Object_00185
Oxidizing,Object_00463
