City_name,Nb_warehouses,Nb_customers
Ville_0001,0,2
Ville_0002,2,1
Ville_0003,2,3
Ville_0004,0,1
Ville_0005,1,0
Ville_0006,0,1
Ville_0007,3,0
Ville_0008,0,1
Ville_0009,0,0
Ville_0010,0,1
Ville_0011,3,1
Ville_0012,2,0
Ville_0013,2,2
Ville_0014,1,2
Ville_0015,1,3
Ville_0016,3,0
Ville_0017,0,0
Ville_0018,2,1
Ville_0019,3,2
Ville_0020,1,3
Ville_0021,2,2
Ville_0022,2,1
Ville_0023,2,2
Ville_0024,0,0
Ville_0025,2,3
Ville_0026,3,2
Ville_0027,0,1
Ville_0028,1,1
Ville_0029,2,1
Ville_0030,0,2
Ville_0031,1,0
Ville_0032,1,3
Ville_0033,3,0
Ville_0034,0,3
Ville_0035,0,2
Ville_0036,2,3
Ville_0037,2,0
Ville_0038,0,2
Ville_0039,3,3
Ville_0040,0,3
Ville_0041,3,3
Ville_0042,0,1
Ville_0043,1,3
Ville_0044,1,3
Ville_0045,0,2
Ville_0046,0,2
Ville_0047,0,2
Ville_0048,2,1
Ville_0049,0,2
Ville_0050,3,3
Ville_0051,0,0
Ville_0052,3,2
Ville_0053,3,3
Ville_0054,2,1
Ville_0055,3,3
Ville_0056,1,1
Ville_0057,0,2
Ville_0058,2,0
Ville_0059,1,2
Ville_0060,2,3
Ville_0061,0,2
Ville_0062,2,2
Ville_0063,2,0
Ville_0064,0,2
Ville_0065,2,2
Ville_0066,1,3
Ville_0067,3,0
Ville_0068,3,0
Ville_0069,3,0
Ville_0070,2,3
Ville_0071,1,3
Ville_0072,0,0
Ville_0073,2,2
Ville_0074,0,3
Ville_0075,1,2
Ville_0076,2,2
Ville_0077,3,1
Ville_0078,1,1
Ville_0079,1,0
Ville_0080,1,0
Ville_0081,0,1
Ville_0082,3,2
Ville_0083,0,1
Ville_0084,0,2
Ville_0085,2,0
Ville_0086,2,0
Ville_0087,1,2
Ville_0088,0,0
Ville_0089,3,0
Ville_0090,0,1
Ville_0091,1,2
Ville_0092,2,3
Ville_0093,0,3
Ville_0094,2,1
Ville_0095,0,2
Ville_0096,2,2
Ville_0097,3,2
Ville_0098,3,2
Ville_0099,0,1
Ville_0100,2,0
Ville_0101,2,1
Ville_0102,0,0
Ville_0103,1,2
Ville_0104,2,1
Ville_0105,3,0
Ville_0106,1,3
Ville_0107,0,0
Ville_0108,1,3
Ville_0109,0,0
Ville_0110,3,3
Ville_0111,2,2
Ville_0112,1,2
Ville_0113,1,2
Ville_0114,1,2
Ville_0115,1,3
Ville_0116,2,0
Ville_0117,1,3
Ville_0118,3,2
Ville_0119,0,2
Ville_0120,0,2
Ville_0121,3,1
Ville_0122,3,3
Ville_0123,1,1
Ville_0124,1,3
Ville_0125,1,2
Ville_0126,2,2
Ville_0127,2,0
Ville_0128,0,3
Ville_0129,3,1
Ville_0130,3,1
Ville_0131,1,3
Ville_0132,0,1
Ville_0133,0,3
Ville_0134,2,3
Ville_0135,0,1
Ville_0136,0,3
Ville_0137,0,1
Ville_0138,0,1
Ville_0139,3,3
Ville_0140,2,1
Ville_0141,3,1
Ville_0142,2,0
Ville_0143,2,2
Ville_0144,0,0
Ville_0145,0,2
Ville_0146,3,3
Ville_0147,3,3
Ville_0148,2,3
Ville_0149,1,1
Ville_0150,0,1
Ville_0151,0,2
Ville_0152,3,3
Ville_0153,2,3
Ville_0154,1,2
Ville_0155,0,1
Ville_0156,2,3
Ville_0157,2,0
Ville_0158,3,2
Ville_0159,2,3
Ville_0160,2,1
Ville_0161,1,0
Ville_0162,1,3
Ville_0163,2,2
Ville_0164,0,2
Ville_0165,2,1
Ville_0166,0,2
Ville_0167,2,3
Ville_0168,3,1
Ville_0169,1,2
Ville_0170,2,0
Ville_0171,1,2
Ville_0172,1,0
Ville_0173,1,1
Ville_0174,0,0
Ville_0175,1,0
Ville_0176,3,0
Ville_0177,2,1
Ville_0178,2,3
Ville_0179,3,1
Ville_0180,3,2
Ville_0181,0,0
Ville_0182,3,3
Ville_0183,3,2
Ville_0184,0,1
Ville_0185,2,0
Ville_0186,2,0
Ville_0187,1,0
Ville_0188,2,1
Ville_0189,2,2
Ville_0190,3,0
Ville_0191,2,0
Ville_0192,3,0
Ville_0193,2,1
Ville_0194,0,0
Ville_0195,1,1
Ville_0196,3,1
Ville_0197,1,2
Ville_0198,3,1
Ville_0199,3,1
Ville_0200,3,2
Ville_0201,1,1
Ville_0202,0,1
Ville_0203,0,3
Ville_0204,0,3
Ville_0205,1,1
Ville_0206,0,3
Ville_0207,2,3
Ville_0208,1,2
Ville_0209,3,1
Ville_0210,2,1
Ville_0211,2,3
Ville_0212,3,3
Ville_0213,2,3
Ville_0214,2,0
Ville_0215,1,0
Ville_0216,2,3
Ville_0217,3,2
Ville_0218,1,3
Ville_0219,0,1
Ville_0220,3,2
Ville_0221,0,2
Ville_0222,3,1
Ville_0223,3,3
Ville_0224,3,1
Ville_0225,0,2
Ville_0226,2,1
Ville_0227,3,0
Ville_0228,2,2
Ville_0229,2,3
Ville_0230,3,3
Ville_0231,3,3
Ville_0232,2,0
Ville_0233,2,3
Ville_0234,1,2
Ville_0235,0,2
Ville_0236,3,3
Ville_0237,1,1
Ville_0238,1,0
Ville_0239,2,1
Ville_0240,0,0
Ville_0241,3,0
Ville_0242,2,2
Ville_0243,0,0
Ville_0244,1,2
Ville_0245,1,1
Ville_0246,3,1
Ville_0247,2,1
Ville_0248,2,2
Ville_0249,3,1
Ville_0250,1,0
Ville_0251,0,0
Ville_0252,0,3
Ville_0253,3,0
Ville_0254,1,2
Ville_0255,2,0
Ville_0256,1,1
Ville_0257,0,2
Ville_0258,0,3
Ville_0259,3,1
Ville_0260,2,0
Ville_0261,0,0
Ville_0262,3,0
Ville_0263,0,1
Ville_0264,0,3
Ville_0265,1,2
Ville_0266,2,3
Ville_0267,0,2
Ville_0268,2,3
Ville_0269,1,0
Ville_0270,2,3
Ville_0271,3,2
Ville_0272,3,0
Ville_0273,1,3
Ville_0274,2,3
Ville_0275,2,1
Ville_0276,3,0
Ville_0277,3,3
Ville_0278,2,0
Ville_0279,3,1
Ville_0280,0,3
Ville_0281,1,3
Ville_0282,2,3
Ville_0283,0,2
Ville_0284,2,1
Ville_0285,0,0
Ville_0286,1,1
Ville_0287,3,1
Ville_0288,0,1
Ville_0289,3,3
Ville_0290,1,0
Ville_0291,3,2
Ville_0292,3,2
Ville_0293,2,1
Ville_0294,0,2
Ville_0295,3,0
Ville_0296,2,1
Ville_0297,3,3
Ville_0298,2,1
Ville_0299,2,3
Ville_0300,3,0
Ville_0301,0,3
Ville_0302,0,3
Ville_0303,1,0
Ville_0304,1,0
Ville_0305,1,1
Ville_0306,3,0
Ville_0307,0,3
Ville_0308,3,1
Ville_0309,3,1
Ville_0310,3,3
Ville_0311,0,2
Ville_0312,0,3
Ville_0313,2,2
Ville_0314,2,2
Ville_0315,1,1
Ville_0316,2,1
Ville_0317,2,2
Ville_0318,3,3
Ville_0319,1,2
Ville_0320,1,1
Ville_0321,3,0
Ville_0322,2,3
Ville_0323,1,1
Ville_0324,3,0
Ville_0325,0,2
Ville_0326,1,1
Ville_0327,0,3
Ville_0328,2,0
Ville_0329,0,3
Ville_0330,1,0
Ville_0331,2,1
Ville_0332,2,0
Ville_0333,1,2
Ville_0334,2,3
Ville_0335,2,2
Ville_0336,3,2
Ville_0337,1,0
Ville_0338,1,0
Ville_0339,1,2
Ville_0340,1,2
Ville_0341,0,1
Ville_0342,3,2
Ville_0343,2,3
Ville_0344,1,1
Ville_0345,0,1
Ville_0346,1,0
Ville_0347,1,1
Ville_0348,1,3
Ville_0349,0,2
Ville_0350,0,0
Ville_0351,1,3
Ville_0352,3,3
Ville_0353,2,2
Ville_0354,0,1
Ville_0355,3,3
Ville_0356,3,3
Ville_0357,2,2
Ville_0358,2,0
Ville_0359,1,1
Ville_0360,2,1
Ville_0361,3,3
Ville_0362,3,2
Ville_0363,0,3
Ville_0364,2,1
Ville_0365,0,2
Ville_0366,3,2
Ville_0367,3,1
Ville_0368,1,3
Ville_0369,2,1
Ville_0370,0,1
Ville_0371,3,2
Ville_0372,1,0
Ville_0373,2,2
Ville_0374,0,2
Ville_0375,2,0
Ville_0376,2,0
Ville_0377,2,3
Ville_0378,3,0
Ville_0379,2,2
Ville_0380,0,0
Ville_0381,3,3
Ville_0382,3,1
Ville_0383,3,0
Ville_0384,0,2
Ville_0385,0,1
Ville_0386,1,1
Ville_0387,0,3
Ville_0388,0,0
Ville_0389,3,0
Ville_0390,2,0
Ville_0391,2,1
Ville_0392,0,2
Ville_0393,2,1
Ville_0394,2,0
Ville_0395,3,3
Ville_0396,0,0
Ville_0397,1,1
Ville_0398,2,0
Ville_0399,1,3
Ville_0400,0,2
Ville_0401,1,3
Ville_0402,1,0
Ville_0403,2,2
Ville_0404,2,0
Ville_0405,2,3
Ville_0406,0,3
Ville_0407,0,0
Ville_0408,0,1
Ville_0409,0,1
Ville_0410,2,0
Ville_0411,1,0
Ville_0412,1,2
Ville_0413,3,0
Ville_0414,1,2
Ville_0415,1,1
Ville_0416,2,0
Ville_0417,3,2
Ville_0418,1,2
Ville_0419,1,2
Ville_0420,3,1
Ville_0421,1,2
Ville_0422,1,1
Ville_0423,2,2
Ville_0424,3,2
Ville_0425,0,3
Ville_0426,2,2
Ville_0427,2,3
Ville_0428,1,0
Ville_0429,3,1
Ville_0430,1,3
Ville_0431,2,2
Ville_0432,1,2
Ville_0433,2,0
Ville_0434,1,2
Ville_0435,1,3
Ville_0436,2,0
Ville_0437,0,1
Ville_0438,3,1
Ville_0439,3,2
Ville_0440,2,3
Ville_0441,0,2
Ville_0442,0,2
Ville_0443,0,1
Ville_0444,3,3
Ville_0445,2,2
Ville_0446,0,1
Ville_0447,2,2
Ville_0448,1,3
Ville_0449,1,0
Ville_0450,3,3
Ville_0451,3,3
Ville_0452,3,1
Ville_0453,2,2
Ville_0454,2,3
Ville_0455,3,2
Ville_0456,0,1
Ville_0457,0,3
Ville_0458,3,2
Ville_0459,3,0
Ville_0460,1,1
Ville_0461,2,1
Ville_0462,1,1
Ville_0463,2,0
Ville_0464,0,2
Ville_0465,1,2
Ville_0466,3,3
Ville_0467,1,3
Ville_0468,0,1
