City_name,Nb_warehouses,Nb_customers
Ville_0001,0,1
Ville_0002,1,1
Ville_0003,0,1
Ville_0004,0,3
Ville_0005,3,3
Ville_0006,2,0
Ville_0007,1,2
Ville_0008,2,3
Ville_0009,0,1
Ville_0010,2,1
Ville_0011,3,0
Ville_0012,1,1
Ville_0013,2,1
Ville_0014,0,0
Ville_0015,1,2
Ville_0016,2,3
Ville_0017,0,3
Ville_0018,2,3
Ville_0019,2,3
Ville_0020,3,0
Ville_0021,0,3
Ville_0022,2,2
Ville_0023,0,0
Ville_0024,1,0
Ville_0025,2,0
Ville_0026,1,3
Ville_0027,3,2
Ville_0028,1,3
Ville_0029,3,0
Ville_0030,3,2
Ville_0031,3,2
Ville_0032,2,0
Ville_0033,1,2
Ville_0034,3,3
Ville_0035,2,3
Ville_0036,0,3
Ville_0037,0,2
Ville_0038,2,2
Ville_0039,0,3
Ville_0040,0,3
Ville_0041,3,0
Ville_0042,1,2
Ville_0043,3,3
Ville_0044,0,1
Ville_0045,2,1
Ville_0046,2,3
Ville_0047,3,0
Ville_0048,0,1
Ville_0049,1,2
Ville_0050,0,3
