City_name,Nb_warehouses,Nb_customers
<<<<<<< HEAD
Ville_0001,1,3
Ville_0002,1,2
Ville_0003,2,3
Ville_0004,3,0
Ville_0005,0,3
Ville_0006,3,0
Ville_0007,1,2
Ville_0008,2,2
Ville_0009,0,3
Ville_0010,2,2
Ville_0011,2,2
Ville_0012,0,1
Ville_0013,0,2
Ville_0014,1,3
Ville_0015,0,0
Ville_0016,1,0
Ville_0017,0,0
Ville_0018,2,0
Ville_0019,0,0
Ville_0020,2,1
Ville_0021,0,0
Ville_0022,2,2
Ville_0023,1,3
Ville_0024,1,3
Ville_0025,3,2
Ville_0026,0,0
Ville_0027,3,2
Ville_0028,3,3
Ville_0029,1,0
Ville_0030,1,2
=======
Ville_0001,3,0
Ville_0002,3,0
Ville_0003,0,1
Ville_0004,2,0
Ville_0005,3,2
Ville_0006,3,0
Ville_0007,1,0
Ville_0008,1,0
Ville_0009,0,3
Ville_0010,2,3
Ville_0011,1,0
Ville_0012,3,2
Ville_0013,3,0
Ville_0014,3,1
Ville_0015,2,1
Ville_0016,0,3
Ville_0017,0,2
Ville_0018,2,1
Ville_0019,0,3
Ville_0020,1,1
Ville_0021,3,3
Ville_0022,2,2
Ville_0023,1,3
Ville_0024,2,3
Ville_0025,3,2
Ville_0026,2,3
Ville_0027,3,1
Ville_0028,0,3
Ville_0029,2,2
Ville_0030,2,3
>>>>>>> 79c383ba7e9c3a3eb669268c41e111740dade76d
