City_name,Nb_warehouses,Nb_customers
<<<<<<< HEAD
Ville_0001,2,2
Ville_0002,3,2
Ville_0003,0,0
Ville_0004,2,0
Ville_0005,2,1
Ville_0006,2,2
Ville_0007,3,2
Ville_0008,0,3
Ville_0009,1,3
Ville_0010,1,0
Ville_0011,2,1
Ville_0012,3,0
Ville_0013,2,3
Ville_0014,0,1
Ville_0015,0,1
Ville_0016,1,1
Ville_0017,1,3
Ville_0018,3,2
Ville_0019,1,1
=======
Ville_0001,3,1
Ville_0002,1,3
Ville_0003,2,3
Ville_0004,0,3
Ville_0005,2,3
Ville_0006,0,0
Ville_0007,2,3
Ville_0008,1,2
Ville_0009,3,2
Ville_0010,2,2
Ville_0011,3,0
Ville_0012,3,0
Ville_0013,2,2
Ville_0014,3,0
Ville_0015,1,3
Ville_0016,1,1
Ville_0017,2,1
Ville_0018,2,0
Ville_0019,0,1
>>>>>>> 79c383ba7e9c3a3eb669268c41e111740dade76d
Ville_0020,1,1
