City_name,Nb_warehouses,Nb_customers
Ville_0001,1,2
Ville_0002,0,2
Ville_0003,1,0
Ville_0004,0,3
Ville_0005,2,1
Ville_0006,1,2
Ville_0007,2,1
Ville_0008,1,2
Ville_0009,2,0
Ville_0010,3,1
Ville_0011,0,2
Ville_0012,3,1
Ville_0013,3,0
Ville_0014,2,0
Ville_0015,3,0
Ville_0016,0,2
Ville_0017,2,3
Ville_0018,3,0
Ville_0019,1,0
Ville_0020,3,0
Ville_0021,2,0
Ville_0022,2,1
Ville_0023,2,1
Ville_0024,1,0
Ville_0025,3,3
Ville_0026,0,1
Ville_0027,3,2
Ville_0028,3,1
Ville_0029,1,2
Ville_0030,0,3
Ville_0031,0,3
Ville_0032,2,0
Ville_0033,3,3
Ville_0034,1,1
Ville_0035,3,1
Ville_0036,3,3
Ville_0037,1,1
Ville_0038,1,0
Ville_0039,2,3
Ville_0040,2,0
Ville_0041,0,3
Ville_0042,3,2
Ville_0043,2,1
Ville_0044,2,2
Ville_0045,0,2
Ville_0046,1,2
Ville_0047,3,1
Ville_0048,3,0
Ville_0049,1,1
Ville_0050,2,1
Ville_0051,0,0
Ville_0052,0,1
Ville_0053,1,2
Ville_0054,0,2
Ville_0055,0,2
Ville_0056,3,3
Ville_0057,0,2
Ville_0058,1,1
Ville_0059,1,2
Ville_0060,3,1
Ville_0061,0,3
Ville_0062,0,2
Ville_0063,1,0
Ville_0064,2,1
Ville_0065,2,0
Ville_0066,3,0
Ville_0067,0,3
Ville_0068,2,2
Ville_0069,0,0
Ville_0070,2,3
Ville_0071,1,3
Ville_0072,0,2
Ville_0073,3,0
Ville_0074,1,1
Ville_0075,3,0
Ville_0076,0,1
Ville_0077,2,2
Ville_0078,3,3
Ville_0079,1,0
Ville_0080,2,2
Ville_0081,2,2
Ville_0082,1,2
Ville_0083,0,2
Ville_0084,3,0
Ville_0085,2,1
Ville_0086,1,2
Ville_0087,3,1
Ville_0088,0,3
Ville_0089,1,3
Ville_0090,1,1
Ville_0091,3,2
Ville_0092,2,3
Ville_0093,1,1
Ville_0094,1,1
Ville_0095,1,2
Ville_0096,1,3
Ville_0097,1,1
Ville_0098,2,0
Ville_0099,0,1
Ville_0100,2,1
Ville_0101,0,2
Ville_0102,3,3
Ville_0103,2,3
Ville_0104,2,1
Ville_0105,1,0
Ville_0106,1,1
Ville_0107,0,2
Ville_0108,1,1
Ville_0109,1,0
Ville_0110,2,0
Ville_0111,3,1
Ville_0112,3,2
Ville_0113,1,3
Ville_0114,3,3
Ville_0115,1,1
Ville_0116,1,1
Ville_0117,0,3
Ville_0118,0,2
Ville_0119,3,1
Ville_0120,1,1
Ville_0121,0,1
Ville_0122,3,3
Ville_0123,2,3
Ville_0124,1,3
Ville_0125,3,0
Ville_0126,3,2
Ville_0127,3,0
Ville_0128,0,3
Ville_0129,3,0
Ville_0130,1,3
Ville_0131,0,3
Ville_0132,0,1
Ville_0133,2,3
Ville_0134,3,2
Ville_0135,2,3
Ville_0136,1,3
Ville_0137,2,0
Ville_0138,1,3
Ville_0139,3,0
Ville_0140,0,1
Ville_0141,1,3
Ville_0142,3,2
Ville_0143,3,0
Ville_0144,1,3
Ville_0145,1,3
Ville_0146,0,2
Ville_0147,2,1
Ville_0148,0,0
Ville_0149,0,3
Ville_0150,2,0
Ville_0151,3,1
Ville_0152,3,3
Ville_0153,0,1
Ville_0154,2,1
Ville_0155,1,1
Ville_0156,1,0
Ville_0157,3,2
Ville_0158,2,3
Ville_0159,2,1
Ville_0160,0,1
Ville_0161,1,0
Ville_0162,2,0
Ville_0163,3,3
Ville_0164,3,0
Ville_0165,3,1
Ville_0166,1,3
Ville_0167,3,3
Ville_0168,3,0
Ville_0169,0,1
Ville_0170,2,1
Ville_0171,0,1
Ville_0172,1,0
Ville_0173,2,0
Ville_0174,1,0
Ville_0175,2,2
Ville_0176,0,0
Ville_0177,0,3
Ville_0178,1,1
Ville_0179,2,1
Ville_0180,3,2
Ville_0181,0,0
Ville_0182,2,2
Ville_0183,2,3
Ville_0184,0,3
Ville_0185,0,2
Ville_0186,3,1
Ville_0187,0,2
Ville_0188,2,3
Ville_0189,1,1
Ville_0190,0,0
Ville_0191,0,3
Ville_0192,2,3
Ville_0193,2,2
Ville_0194,2,1
Ville_0195,3,3
Ville_0196,3,1
Ville_0197,1,2
Ville_0198,1,0
Ville_0199,0,0
Ville_0200,3,0
Ville_0201,1,3
Ville_0202,3,0
Ville_0203,2,2
Ville_0204,1,0
Ville_0205,1,2
Ville_0206,2,0
Ville_0207,2,2
Ville_0208,2,0
Ville_0209,0,2
Ville_0210,2,3
Ville_0211,0,1
Ville_0212,1,2
Ville_0213,2,3
Ville_0214,3,0
Ville_0215,1,3
Ville_0216,1,3
Ville_0217,2,3
Ville_0218,3,0
Ville_0219,2,2
Ville_0220,0,1
Ville_0221,2,2
Ville_0222,0,1
Ville_0223,2,0
Ville_0224,2,3
Ville_0225,1,3
Ville_0226,1,0
Ville_0227,2,2
Ville_0228,0,2
Ville_0229,3,0
Ville_0230,3,1
Ville_0231,2,3
Ville_0232,2,1
Ville_0233,2,1
Ville_0234,0,2
Ville_0235,0,1
Ville_0236,0,3
Ville_0237,0,3
Ville_0238,1,1
Ville_0239,2,3
Ville_0240,2,2
Ville_0241,1,0
Ville_0242,1,1
Ville_0243,0,3
Ville_0244,3,0
Ville_0245,0,2
Ville_0246,0,0
Ville_0247,2,3
Ville_0248,0,0
Ville_0249,2,0
Ville_0250,2,1
Ville_0251,2,1
Ville_0252,1,2
Ville_0253,2,2
Ville_0254,3,0
Ville_0255,2,1
Ville_0256,1,2
Ville_0257,0,0
Ville_0258,0,1
Ville_0259,2,2
Ville_0260,2,1
Ville_0261,2,1
Ville_0262,1,0
Ville_0263,2,2
Ville_0264,3,0
Ville_0265,1,0
Ville_0266,3,0
Ville_0267,0,3
Ville_0268,0,0
Ville_0269,3,3
Ville_0270,1,3
Ville_0271,2,2
Ville_0272,2,1
Ville_0273,0,3
Ville_0274,1,0
Ville_0275,3,0
Ville_0276,3,2
Ville_0277,3,3
Ville_0278,1,1
Ville_0279,1,2
Ville_0280,2,3
Ville_0281,1,2
Ville_0282,2,3
Ville_0283,3,0
