Start_city,End_city,Distance
Ville_0183,Ville_0201,822
Ville_0201,Ville_0416,554
Ville_0416,Ville_0326,423
Ville_0326,Ville_0211,2447
Ville_0211,Ville_0344,1521
Ville_0344,Ville_0433,761
Ville_0433,Ville_0396,509
Ville_0396,Ville_0237,2131
Ville_0237,Ville_0422,240
Ville_0422,Ville_0197,1842
Ville_0197,Ville_0216,2192
Ville_0216,Ville_0102,316
Ville_0102,Ville_0323,1840
Ville_0323,Ville_0330,1105
Ville_0330,Ville_0203,969
Ville_0203,Ville_0006,1126
Ville_0006,Ville_0411,186
Ville_0411,Ville_0394,1239
Ville_0394,Ville_0279,2995
Ville_0279,Ville_0119,980
Ville_0119,Ville_0483,1688
Ville_0483,Ville_0387,323
Ville_0387,Ville_0067,2703
Ville_0067,Ville_0340,1618
Ville_0340,Ville_0140,1491
Ville_0140,Ville_0207,404
Ville_0207,Ville_0118,2818
Ville_0118,Ville_0155,493
Ville_0155,Ville_0474,1846
Ville_0474,Ville_0244,2375
Ville_0244,Ville_0319,146
Ville_0319,Ville_0255,754
Ville_0255,Ville_0024,1193
Ville_0024,Ville_0175,1133
Ville_0175,Ville_0178,893
Ville_0178,Ville_0268,1068
Ville_0268,Ville_0499,960
Ville_0499,Ville_0275,2708
Ville_0275,Ville_0266,1782
Ville_0266,Ville_0137,627
Ville_0137,Ville_0446,2494
Ville_0446,Ville_0272,637
Ville_0272,Ville_0480,1153
Ville_0480,Ville_0134,1570
Ville_0134,Ville_0076,2779
Ville_0076,Ville_0081,1949
Ville_0081,Ville_0138,1161
Ville_0138,Ville_0054,2310
Ville_0054,Ville_0182,1138
Ville_0182,Ville_0260,1869
Ville_0260,Ville_0042,2994
Ville_0042,Ville_0049,549
Ville_0049,Ville_0204,1132
Ville_0204,Ville_0045,220
Ville_0045,Ville_0099,759
Ville_0099,Ville_0264,1384
Ville_0264,Ville_0107,637
Ville_0107,Ville_0452,1494
Ville_0452,Ville_0459,1386
Ville_0459,Ville_0277,1695
Ville_0277,Ville_0104,2448
Ville_0104,Ville_0028,1918
Ville_0028,Ville_0305,2454
Ville_0305,Ville_0219,2115
Ville_0219,Ville_0092,1093
Ville_0092,Ville_0469,2894
Ville_0469,Ville_0065,1528
Ville_0065,Ville_0441,970
Ville_0441,Ville_0316,2190
Ville_0316,Ville_0052,528
Ville_0052,Ville_0050,1988
Ville_0050,Ville_0420,551
Ville_0420,Ville_0202,2926
Ville_0202,Ville_0361,1134
Ville_0361,Ville_0413,1847
Ville_0413,Ville_0131,2517
Ville_0131,Ville_0328,2462
Ville_0328,Ville_0391,160
Ville_0391,Ville_0213,667
Ville_0213,Ville_0106,1712
Ville_0106,Ville_0470,817
Ville_0470,Ville_0283,397
Ville_0283,Ville_0125,2949
Ville_0125,Ville_0447,2155
Ville_0447,Ville_0191,2125
Ville_0191,Ville_0043,1026
Ville_0043,Ville_0314,2864
Ville_0314,Ville_0098,1190
Ville_0098,Ville_0355,1799
Ville_0355,Ville_0443,2961
Ville_0443,Ville_0077,1148
Ville_0077,Ville_0093,1607
Ville_0093,Ville_0115,512
Ville_0115,Ville_0276,1838
Ville_0276,Ville_0311,528
Ville_0311,Ville_0334,2922
Ville_0334,Ville_0015,2607
Ville_0015,Ville_0171,1260
Ville_0171,Ville_0221,638
Ville_0221,Ville_0085,2354
Ville_0085,Ville_0263,582
Ville_0263,Ville_0010,2839
Ville_0010,Ville_0103,119
Ville_0103,Ville_0253,894
Ville_0253,Ville_0455,917
Ville_0455,Ville_0303,1275
Ville_0303,Ville_0247,2829
Ville_0247,Ville_0486,817
Ville_0486,Ville_0265,358
Ville_0265,Ville_0246,2014
Ville_0246,Ville_0220,493
Ville_0220,Ville_0241,2480
Ville_0241,Ville_0056,548
Ville_0056,Ville_0399,323
Ville_0399,Ville_0193,2461
Ville_0193,Ville_0200,720
Ville_0200,Ville_0284,1026
Ville_0284,Ville_0005,1523
Ville_0005,Ville_0186,2566
Ville_0186,Ville_0037,524
Ville_0037,Ville_0080,1369
Ville_0080,Ville_0382,2160
Ville_0382,Ville_0091,51
Ville_0091,Ville_0083,1164
Ville_0083,Ville_0357,1005
Ville_0357,Ville_0336,2510
Ville_0336,Ville_0023,1684
Ville_0023,Ville_0120,1949
Ville_0120,Ville_0329,1313
Ville_0329,Ville_0371,1430
Ville_0371,Ville_0089,2755
Ville_0089,Ville_0027,1787
Ville_0027,Ville_0150,2522
Ville_0150,Ville_0189,911
Ville_0189,Ville_0465,802
Ville_0465,Ville_0250,2551
Ville_0250,Ville_0461,1318
Ville_0461,Ville_0224,2435
Ville_0224,Ville_0167,1509
Ville_0167,Ville_0033,1912
Ville_0033,Ville_0087,2551
Ville_0087,Ville_0262,745
Ville_0262,Ville_0267,1778
Ville_0267,Ville_0124,146
Ville_0124,Ville_0123,1706
Ville_0123,Ville_0432,324
Ville_0432,Ville_0312,1147
Ville_0312,Ville_0126,2973
Ville_0126,Ville_0261,2683
Ville_0261,Ville_0295,351
Ville_0295,Ville_0192,2909
Ville_0192,Ville_0142,417
Ville_0142,Ville_0011,1604
Ville_0011,Ville_0060,219
Ville_0060,Ville_0367,1092
Ville_0367,Ville_0158,447
Ville_0158,Ville_0375,1064
Ville_0375,Ville_0410,874
Ville_0410,Ville_0021,2036
Ville_0021,Ville_0439,1222
Ville_0439,Ville_0269,2085
Ville_0269,Ville_0477,880
Ville_0477,Ville_0419,2937
Ville_0419,Ville_0298,2116
Ville_0298,Ville_0242,1129
Ville_0242,Ville_0062,247
Ville_0062,Ville_0059,1450
Ville_0059,Ville_0381,2268
Ville_0381,Ville_0180,1175
Ville_0180,Ville_0048,1041
Ville_0048,Ville_0003,1695
Ville_0003,Ville_0374,1618
Ville_0374,Ville_0430,1752
Ville_0430,Ville_0153,568
Ville_0153,Ville_0390,957
Ville_0390,Ville_0409,1617
Ville_0409,Ville_0395,1176
Ville_0395,Ville_0360,1437
Ville_0360,Ville_0310,535
Ville_0310,Ville_0108,1460
Ville_0108,Ville_0434,936
Ville_0434,Ville_0473,2960
